λ (nm),α (cm^-1)
200.0,22384.494661884928
200.06,22298.97119302655
200.12,22213.44772416817
200.18,22127.924255309797
200.24,22042.400786451417
200.3,21956.87731759304
200.36,21871.353848734663
200.42,21785.830379876326
200.48,21700.30691101795
200.54,21614.783442159576
200.6,21529.259973301196
200.66,21443.73650444282
200.72,21358.21303558444
200.78,21272.689566726065
200.84,21187.166097867685
200.9,21101.642629009308
200.96,21016.119160150934
201.02,20929.542913971352
201.08,20840.86111314937
201.14,20752.179312327433
201.2,20663.49751150545
201.26,20574.81571068347
201.32,20486.13390986149
201.38,20397.45210903951
201.44,20308.770308217532
201.5,20220.088507395547
201.56,20131.406706573565
201.62,20042.724905751587
201.68,19954.043104929606
201.74,19865.361304107628
201.8,19776.679503285643
201.86,19687.997702463665
201.92,19599.315901641727
201.98,19510.63410081974
202.04,19419.68826949351
202.1,19327.610422915146
202.16,19235.532576336784
202.22,19143.45472975842
202.28,19051.37688318006
202.34,18959.299036601697
202.4,18867.221190023334
202.46,18775.143343444972
202.52,18683.06549686661
202.58,18590.987650288247
202.64,18498.90980370993
202.7,18406.831957131566
202.76,18314.754110553204
202.82,18222.67626397484
202.88,18130.59841739648
202.94,18038.520570818117
203.0,17946.442724239754
203.06,17854.36367077577
203.12,17762.284617311783
203.18,17670.205563847798
203.24,17578.126510383812
203.3,17486.047456919827
203.36,17393.96840345584
203.42,17301.8893499919
203.48,17209.810296527914
203.54,17117.73124306393
203.6,17025.652189599943
203.66,16933.573136135958
203.72,16841.494082671972
203.78,16749.415029207987
203.84,16657.335975744
203.9,16565.256922280016
203.96,16473.17786881603
204.02,16382.844860521272
204.08,16296.00394256497
204.14,16209.163024608706
204.2,16122.322106652404
204.26,16035.4811886961
204.32,15948.640270739797
204.38,15861.799352783491
204.44,15774.95843482719
204.5,15688.117516870885
204.56,15601.276598914581
204.62,15514.435680958277
204.68,15427.594763001973
204.74,15340.75384504567
204.8,15253.912927089366
204.86,15167.072009133064
204.92,15080.2310911768
204.98,14993.390173220498
205.04,14912.900631029592
205.1,14835.586776721391
205.16,14758.272922413189
205.22,14680.959068104987
205.28,14603.645213796784
205.34,14526.33135948858
205.4,14449.017505180378
205.46,14371.703650872178
205.52,14294.389796563975
205.58,14217.075942255773
205.64,14139.762087947607
205.7,14062.448233639405
205.76,13985.134379331203
205.82,13907.820525023
205.88,13830.5066707148
205.94,13753.192816406596
206.0,13675.878962098393
206.06,13609.874312977823
206.12,13543.869663857253
206.18,13477.865014736684
206.24,13411.860365616114
206.3,13345.855716495544
206.36,13279.851067374973
206.42,13213.846418254436
206.48,13147.841769133865
206.54,13081.837120013295
206.6,13015.832470892725
206.66,12949.827821772154
206.72,12883.823172651586
206.78,12817.818523531016
206.84,12751.813874410445
206.9,12685.809225289875
206.96,12619.804576169305
207.02,12557.48345206099
207.08,12502.529377977176
207.14,12447.575303893387
207.2,12392.621229809572
207.26,12337.66715572576
207.32,12282.713081641945
207.38,12227.75900755813
207.44,12172.804933474315
207.5,12117.8508593905
207.56,12062.896785306688
207.62,12007.942711222875
207.68,11952.98863713906
207.74,11898.034563055246
207.8,11843.08048897143
207.86,11788.126414887616
207.92,11733.172340803829
207.98,11678.218266720016
208.04,11629.888257662256
208.1,11584.870281117526
208.16,11539.8523045728
208.22,11494.83432802807
208.28,11449.816351483341
208.34,11404.798374938613
208.4,11359.780398393885
208.46,11314.762421849155
208.52,11269.744445304428
208.58,11224.7264687597
208.64,11179.708492214992
208.7,11134.690515670261
208.76,11089.672539125535
208.82,11044.654562580807
208.88,10999.636586036077
208.94,10954.61860949135
209.0,10909.60063294662
209.06,10872.989803966837
209.12,10836.378974987052
209.18,10799.76814600727
209.24,10763.157317027486
209.3,10726.546488047703
209.36,10689.935659067918
209.42,10653.324830088151
209.48,10616.714001108368
209.54,10580.103172128585
209.6,10543.4923431488
209.66,10506.881514169017
209.72,10470.270685189233
209.78,10433.65985620945
209.84,10397.049027229665
209.9,10360.438198249882
209.96,10323.827369270097
210.02,10289.36898879399
210.08,10259.215505325239
210.14,10229.062021856498
210.2,10198.908538387743
210.26,10168.75505491899
210.32,10138.601571450234
210.38,10108.448087981482
210.44,10078.294604512726
210.5,10048.141121043971
210.56,10017.987637575217
210.62,9987.834154106462
210.68,9957.68067063771
210.74,9927.527187168955
210.8,9897.373703700201
210.86,9867.220220231446
210.92,9837.066736762707
210.98,9806.913253293953
211.04,9779.935450654471
211.1,9754.54548842963
211.16,9729.155526204788
211.22,9703.765563979945
211.28,9678.375601755102
211.34,9652.985639530261
211.4,9627.595677305419
211.46,9602.205715080578
211.52,9576.815752855735
211.58,9551.425790630892
211.64,9526.035828406062
211.7,9500.64586618122
211.76,9475.255903956377
211.82,9449.865941731536
211.88,9424.475979506693
211.94,9399.086017281852
212.0,9373.69605505701
212.06,9352.741526279247
212.12,9331.786997501486
212.18,9310.832468723724
212.24,9289.877939945962
212.3,9268.9234111682
212.36,9247.968882390438
212.42,9227.014353612687
212.48,9206.059824834925
212.54,9185.105296057163
212.6,9164.150767279401
212.66,9143.196238501641
212.72,9122.241709723878
212.78,9101.287180946116
212.84,9080.332652168356
212.9,9059.378123390594
212.96,9038.423594612832
213.02,9019.324304395996
213.08,9003.935491301008
213.14,8988.546678206027
213.2,8973.157865111038
213.26,8957.76905201605
213.32,8942.380238921061
213.38,8926.991425826074
213.44,8911.602612731087
213.5,8896.213799636098
213.56,8880.824986541109
213.62,8865.436173446122
213.68,8850.047360351135
213.74,8834.658547256146
213.8,8819.269734161157
213.86,8803.88092106617
213.92,8788.492107971188
213.98,8773.1032948762
214.04,8762.251800528999
214.1,8753.66896555569
214.16,8745.08613058238
214.22,8736.50329560907
214.28,8727.920460635763
214.34,8719.337625662454
214.4,8710.754790689145
214.46,8702.171955715836
214.52,8693.589120742528
214.58,8685.00628576922
214.64,8676.423450795915
214.7,8667.840615822606
214.76,8659.257780849297
214.82,8650.674945875988
214.88,8642.09211090268
214.94,8633.509275929371
215.0,8624.926440956062
215.06,8622.8411527597
215.12,8620.755864563338
215.18,8618.670576366978
215.24,8616.585288170614
215.3,8614.499999974252
215.36,8612.41471177789
215.42,8610.32942358153
215.48,8608.244135385168
215.54,8606.158847188806
215.6,8604.073558992444
215.66,8601.988270796082
215.72,8599.90298259972
215.78,8597.817694403358
215.84,8595.732406206997
215.9,8593.647118010636
215.96,8591.561829814273
216.02,8590.710117295946
216.07999999999998,8592.325556133692
216.14,8593.940994971437
216.2,8595.556433809183
216.26,8597.171872646928
216.32,8598.787311484673
216.38,8600.402750322417
216.44,8602.018189160162
216.5,8603.633627997908
216.56,8605.249066835653
216.62,8606.864505673399
216.68,8608.479944511144
216.74,8610.09538334889
216.8,8611.710822186635
216.86,8613.32626102438
216.92,8614.941699862124
216.98,8616.557138699869
217.04,8617.085441141257
217.1,8617.070175384466
217.16,8617.054909627674
217.22,8617.039643870883
217.28,8617.024378114093
217.34,8617.0091123573
217.4,8616.99384660051
217.46,8616.97858084372
217.52,8616.963315086929
217.57999999999998,8616.948049330136
217.64,8616.932783573346
217.7,8616.917517816553
217.76,8616.902252059763
217.82,8616.886986302972
217.88,8616.871720546182
217.94,8616.85645478939
218.0,8616.841189032599
218.06,8608.249098756427
218.12,8599.657008480257
218.18,8591.064918204087
218.24,8582.472827927915
218.3,8573.880737651743
218.36,8565.288647375572
218.42,8556.696557099405
218.48,8548.104466823233
218.54,8539.512376547063
218.6,8530.920286270893
218.66,8522.328195994722
218.72,8513.73610571855
218.78,8505.144015442378
218.84,8496.551925166208
218.9,8487.959834890036
218.96,8479.367744613866
219.02,8465.76675578933
219.07999999999998,8442.147969868081
219.14,8418.529183946823
219.2,8394.910398025564
219.26,8371.291612104305
219.32,8347.672826183047
219.38,8324.054040261788
219.44,8300.43525434053
219.5,8276.816468419269
219.56,8253.19768249801
219.62,8229.578896576752
219.68,8205.960110655493
