λ (nm),α (cm^-1)
200.0,30334.895705611816
200.06,30176.661279284417
200.12,30018.426852957014
200.18,29860.192426629616
200.24,29701.95800030222
200.3,29543.723573974818
200.36,29385.48914764742
200.42,29227.254721320096
200.48,29069.020294992693
200.54,28910.785868665294
200.6,28752.551442337895
200.66,28594.317016010493
200.72,28436.082589683094
200.78,28277.8481633557
200.84,28119.613737028296
200.9,27961.379310700897
200.96,27803.144884373494
201.02,27649.24376462006
201.08,27504.00925801453
201.14,27358.77475140907
201.2,27213.540244803546
201.26,27068.305738198014
201.32,26923.07123159249
201.38,26777.83672498696
201.44,26632.602218381435
201.5,26487.36771177591
201.56,26342.13320517038
201.62,26196.89869856485
201.68,26051.664191959328
201.74,25906.4296853538
201.8,25761.195178748272
201.86,25615.960672142748
201.92,25470.726165537286
201.98,25325.491658931758
202.04,25194.917696287135
202.1,25071.674005622972
202.16,24948.430314958805
202.22,24825.18662429464
202.28,24701.942933630482
202.34,24578.699242966315
202.4,24455.45555230215
202.46,24332.211861637985
202.52,24208.96817097382
202.58,24085.724480309655
202.64,23962.480789645546
202.7,23839.237098981386
202.76,23715.99340831722
202.82,23592.749717653056
202.88,23469.50602698889
202.94,23346.262336324726
203.0,23223.01864566056
203.06,23123.729221305643
203.12,23024.439796950723
203.18,22925.150372595803
203.24,22825.860948240883
203.3,22726.571523885967
203.36,22627.282099531047
203.42,22527.992675176178
203.48,22428.703250821254
203.54,22329.413826466334
203.6,22230.124402111418
203.66,22130.834977756498
203.72,22031.545553401582
203.78,21932.25612904666
203.84,21832.966704691742
203.9,21733.677280336822
203.96,21634.387855981902
204.02,21541.427797890734
204.08,21461.126472327054
204.14,21380.825146763415
204.2,21300.52382119973
204.26,21220.222495636055
204.32,21139.92117007237
204.38,21059.619844508692
204.44,20979.31851894501
204.5,20899.017193381333
204.56,20818.715867817653
204.62,20738.414542253973
204.68,20658.113216690293
204.74,20577.81189112661
204.8,20497.510565562934
204.86,20417.20923999925
204.92,20336.90791443561
204.98,20256.606588871928
205.04,20183.71816502403
205.1,20114.536192034026
205.16,20045.35421904402
205.22,19976.17224605401
205.28,19906.990273064006
205.34,19837.808300073997
205.4,19768.626327083995
205.46,19699.444354093986
205.52,19630.262381103978
205.58,19561.080408113976
205.64,19491.898435124
205.7,19422.71646213399
205.76,19353.534489143985
205.82,19284.35251615398
205.88,19215.17054316397
205.94,19145.988570173966
206.0,19076.80659718396
206.06,19012.880419282217
206.12,18948.95424138047
206.18,18885.028063478727
206.24,18821.101885576983
206.3,18757.17570767524
206.36,18693.249529773497
206.42,18629.323351871786
206.48,18565.39717397004
206.54,18501.470996068296
206.6,18437.544818166552
206.66,18373.61864026481
206.72,18309.692462363066
206.78,18245.766284461322
206.84,18181.84010655958
206.9,18117.913928657836
206.96,18053.987750756092
207.02,17991.185156446107
207.08,17930.629729319644
207.14,17870.07430219321
207.2,17809.518875066744
207.26,17748.96344794028
207.32,17688.40802081382
207.38,17627.852593687356
207.44,17567.297166560893
207.5,17506.741739434427
207.56,17446.186312307964
207.62,17385.630885181497
207.68,17325.075458055035
207.74,17264.520030928572
207.8,17203.96460380211
207.86,17143.409176675646
207.92,17082.85374954921
207.98,17022.298322422746
208.04,16964.659066487955
208.1,16908.47789614901
208.16,16852.296725810054
208.22,16796.115555471104
208.28,16739.934385132154
208.34,16683.753214793203
208.4,16627.572044454253
208.46,16571.390874115303
208.52,16515.209703776352
208.58,16459.0285334374
208.64,16402.847363098477
208.7,16346.666192759525
208.76,16290.485022420575
208.82,16234.303852081624
208.88,16178.122681742672
208.94,16121.941511403724
209.0,16065.760341064772
209.06,16016.053538928812
209.12,15966.346736792855
209.18,15916.639934656896
209.24,15866.933132520937
209.3,15817.22633038498
209.36,15767.51952824902
209.42,15717.812726113085
209.48,15668.105923977128
209.54,15618.399121841168
209.6,15568.69231970521
209.66,15518.985517569252
209.72,15469.278715433293
209.78,15419.571913297334
209.84,15369.865111161376
209.9,15320.158309025417
209.96,15270.45150688946
210.02,15223.598695971512
210.08,15182.453867489585
210.14,15141.309039007678
210.2,15100.16421052575
210.26,15059.019382043823
210.32,15017.874553561896
210.38,14976.72972507997
210.44,14935.584896598044
210.5,14894.440068116115
210.56,14853.295239634188
210.62,14812.15041115226
210.68,14771.005582670334
210.74,14729.860754188408
210.8,14688.71592570648
210.86,14647.571097224552
210.92,14606.426268742645
210.98,14565.281440260718
211.04,14530.951765421023
211.1,14500.029667402447
211.16,14469.107569383868
211.22,14438.185471365292
211.28,14407.263373346716
211.34,14376.34127532814
211.4,14345.41917730956
211.46,14314.497079290984
211.52,14283.574981272408
211.58,14252.652883253828
211.64,14221.730785235268
211.7,14190.80868721669
211.76,14159.886589198113
211.82,14128.964491179537
211.88,14098.04239316096
211.94,14067.120295142382
212.0,14036.198197123806
212.06,14016.62622697712
212.12,13997.054256830435
212.18,13977.48228668375
212.24,13957.910316537065
212.3,13938.33834639038
212.36,13918.766376243695
212.42,13899.19440609702
212.48,13879.622435950334
212.54,13860.05046580365
212.6,13840.478495656964
212.66,13820.906525510281
212.72,13801.334555363595
212.78,13781.762585216911
212.84,13762.190615070225
212.9,13742.618644923541
212.96,13723.046674776855
213.02,13707.374022762524
213.08,13699.500007012897
213.14,13691.625991263272
213.2,13683.751975513644
213.26,13675.877959764015
213.32,13668.003944014386
213.38,13660.129928264758
213.44,13652.25591251513
213.5,13644.3818967655
213.56,13636.507881015874
213.62,13628.633865266245
213.68,13620.759849516617
213.74,13612.885833766988
213.8,13605.011818017358
213.86,13597.137802267729
213.92,13589.263786518106
213.98,13581.38977076848
214.04,13580.627838475943
214.1,13583.421947911953
214.16,13586.216057347967
214.22,13589.01016678398
214.28,13591.804276219991
214.34,13594.598385656005
214.4,13597.392495092019
214.46,13600.186604528031
214.52,13602.980713964045
214.58,13605.774823400056
214.64,13608.568932836068
214.7,13611.363042272082
214.76,13614.157151708094
214.82,13616.951261144106
214.88,13619.74537058012
214.94,13622.53948001613
215.0,13625.333589452144
215.06,13635.614321553672
215.12,13645.895053655198
215.18,13656.175785756726
215.24,13666.456517858252
215.3,13676.73724995978
215.36,13687.017982061307
215.42,13697.29871416283
215.48,13707.579446264357
215.54,13717.860178365883
215.6,13728.140910467411
215.66,13738.421642568937
215.72,13748.702374670465
215.78,13758.98310677199
215.84,13769.263838873518
215.9,13779.544570975044
215.96,13789.825303076572
216.02,13800.655065408244
216.07999999999998,13812.5828882002
216.14,13824.51071099216
216.2,13836.438533784121
216.26,13848.366356576083
216.32,13860.294179368044
216.38,13872.222002160004
216.44,13884.149824951966
216.5,13896.077647743929
216.56,13908.005470535889
216.62,13919.93329332785
216.68,13931.861116119811
216.74,13943.788938911772
216.8,13955.716761703734
216.86,13967.644584495696
216.92,13979.572407287651
216.98,13991.50023007961
217.04,13999.11678345124
217.1,14004.577702112701
217.16,14010.038620774163
217.22,14015.499539435623
217.28,14020.960458097084
217.34,14026.421376758546
217.4,14031.882295420008
217.46,14037.343214081471
217.52,14042.804132742933
217.57999999999998,14048.265051404389
217.64,14053.725970065852
217.7,14059.186888727314
217.76,14064.647807388776
217.82,14070.108726050235
217.88,14075.569644711697
217.94,14081.030563373159
218.0,14086.49148203462
218.06,14076.854116907421
218.12,14067.216751780225
218.18,14057.579386653028
218.24,14047.94202152583
218.3,14038.304656398632
218.36,14028.667291271437
218.42,14019.029926144243
218.48,14009.392561017046
218.54,13999.755195889848
218.6,13990.11783076265
218.66,13980.480465635454
218.72,13970.843100508255
218.78,13961.20573538106
218.84,13951.56837025386
218.9,13941.931005126666
218.96,13932.293639999467
219.02,13915.59937376151
219.07999999999998,13884.791305302062
219.14,13853.9832368426
219.2,13823.175168383133
219.26,13792.367099923671
219.32,13761.559031464207
219.38,13730.750963004744
219.44,13699.94289454528
219.5,13669.134826085816
219.56,13638.326757626352
219.62,13607.518689166889
219.68,13576.710620707427
219.74,13545.902552247962
219.8,13515.0944837885
219.86,13484.286415329034
219.92,13453.478346869586
219.98,13422.670278410124
220.04,13377.955278640016
220.1,13326.286813214585
220.16,13274.618347789152
220.22,13222.94988236372
220.28,13171.28141693829
220.34,13119.612951512856
220.4,13067.944486087425
220.46,13016.276020661991
220.52,12964.60755523656
220.57999999999998,12912.93908981115
220.64,12861.27062438572
220.7,12809.602158960286
220.76,12757.933693534855
220.82,12706.265228109422
220.88,12654.59676268399
220.94,12602.928297258559
221.0,12551.259831833126
221.06,12489.041935355717
221.12,12426.82403887831
221.18,12364.606142400904
221.24,12302.388245923496
221.3,12240.170349446089
221.36,12177.95245296868
221.42,12115.734556491305
221.48,12053.516660013898
221.54,11991.298763536488
221.6,11929.080867059081
221.66,11866.862970581675
221.72,11804.645074104268
221.78,11742.427177626862
221.84,11680.209281149455
221.9,11617.991384672048
221.96,11555.77348819464
222.02,11497.459932058971
222.07999999999998,11446.955056606796
222.14,11396.450181154596
222.2,11345.945305702397
222.26,11295.440430250197
222.32,11244.935554797998
222.38,11194.4306793458
222.44,11143.925803893599
222.5,11093.420928441401
222.56,11042.916052989201
222.62,10992.411177537002
222.68,10941.906302084803
222.74,10891.401426632605
222.8,10840.896551180404
222.86,10790.391675728206
222.92,10739.88680027603
222.98,10689.38192482383
223.04,10668.303522160431
223.1,10661.938355891445
223.16,10655.573189622457
223.22,10649.20802335347
223.28,10642.842857084483
223.34,10636.477690815493
223.4,10630.112524546506
223.46,10623.747358277518
223.52,10617.382192008532
223.57999999999998,10611.017025739546
223.64,10604.65185947056
223.7,10598.286693201571
223.76,10591.921526932583
223.82,10585.556360663597
223.88,10579.191194394607
223.94,10572.82602812562
224.0,10566.460861856633
224.06,10639.051240582643
224.12,10711.641619308653
224.18,10784.231998034664
224.24,10856.82237676067
224.3,10929.41275548668
224.36,11002.003134212691
224.42,11074.593512938667
224.48,11147.183891664678
224.54,11219.774270390688
224.6,11292.364649116698
224.66,11364.955027842707
224.72,11437.545406568717
224.78,11510.135785294726
224.84,11582.726164020736
224.9,11655.316542746747
224.96,11727.906921472757
225.02,11834.216331955633
225.07999999999998,12007.963805952113
225.14,12181.711279948677
225.2,12355.458753945239
225.26,12529.2062279418
225.32,12702.953701938364
225.38,12876.701175934926
225.44,13050.448649931488
225.5,13224.196123928048
225.56,13397.943597924614
225.62,13571.691071921174
225.68,13745.438545917736
225.74,13919.186019914301
225.8,14092.933493910861
225.86,14266.680967907423
225.92,14440.428441903903
225.98,14614.175915900467
226.04,14847.898897734289
226.1,15111.60963348676
226.16,15375.32036923923
226.22,15639.031104991702
226.28,15902.741840744173
226.34,16166.452576496644
226.4,16430.163312249115
226.46,16693.874048001584
226.52,16957.584783754057
226.57999999999998,17221.295519506402
226.64,17485.006255258875
226.7,17748.716991011344
226.76,18012.427726763817
226.82,18276.138462516286
226.88,18539.84919826876
226.94,18803.55993402123
227.0,19067.2706697737
227.06,19355.760813355853
227.12,19644.25095693801
227.18,19932.74110052017
227.24,20221.23124410232
227.3,20509.721387684476
227.36,20798.211531266632
227.42,21086.70167484865
227.48,21375.191818430805
227.54,21663.681962012957
227.6,21952.172105595113
227.66,22240.66224917727
