λ (nm),α (cm^-1)
200.0,30126.942778473407
200.06,30004.88389224807
200.12,29882.825006022733
200.18,29760.766119797398
200.24,29638.70723357206
200.3,29516.64834734672
200.36,29394.589461121384
200.42,29272.530574896107
200.48,29150.471688670765
200.54,29028.41280244543
200.6,28906.35391622009
200.66,28784.295029994755
200.72,28662.23614376942
200.78,28540.177257544077
200.84,28418.118371318742
200.9,28296.059485093407
200.96,28174.000598868068
201.02,28052.607567670508
201.08,27932.54624652851
201.14,27812.484925386565
201.2,27692.423604244566
201.26,27572.362283102568
201.32,27452.30096196057
201.38,27332.239640818563
201.44,27212.178319676565
201.5,27092.116998534566
201.56,26972.055677392564
201.62,26851.994356250565
201.68,26731.933035108563
201.74,26611.87171396656
201.8,26491.810392824562
201.86,26371.749071682563
201.92,26251.68775054062
201.98,26131.62642939862
202.04,26015.94885567047
202.1,25902.46315564925
202.16,25788.97745562803
202.22,25675.49175560681
202.28,25562.006055585593
202.34,25448.520355564375
202.4,25335.034655543153
202.46,25221.548955521932
202.52,25108.063255500714
202.58,24994.577555479493
202.64,24881.091855458326
202.7,24767.606155437108
202.76,24654.12045541589
202.82,24540.63475539467
202.88,24427.149055373447
202.94,24313.663355352226
203.0,24200.17765533101
203.06,24098.560350396336
203.12,23996.943045461663
203.18,23895.325740526987
203.24,23793.708435592314
203.3,23692.091130657645
203.36,23590.473825722973
203.42,23488.856520788344
203.48,23387.23921585367
203.54,23285.621910919
203.6,23184.004605984326
203.66,23082.38730104965
203.72,22980.769996114977
203.78,22879.152691180305
203.84,22777.535386245632
203.9,22675.918081310956
203.96,22574.300776376283
204.02,22477.549633716353
204.08,22390.530815605904
204.14,22303.51199749549
204.2,22216.493179385037
204.26,22129.47436127458
204.32,22042.45554316413
204.38,21955.436725053678
204.44,21868.417906943225
204.5,21781.39908883277
204.56,21694.38027072232
204.62,21607.361452611865
204.68,21520.342634501412
204.74,21433.323816390963
204.8,21346.304998280506
204.86,21259.286180170053
204.92,21172.26736205964
204.98,21085.24854394919
205.04,21007.69906308529
205.1,20934.88425084466
205.16,20862.069438604038
205.22,20789.254626363414
205.28,20716.43981412279
205.34,20643.625001882167
205.4,20570.810189641543
205.46,20497.995377400912
205.52,20425.180565160288
205.58,20352.365752919664
205.64,20279.550940679077
205.7,20206.736128438453
205.76,20133.92131619783
205.82,20061.106503957202
205.88,19988.29169171658
205.94,19915.476879475955
206.0,19842.66206723533
206.06,19782.32476918275
206.12,19721.987471130164
206.18,19661.65017307758
206.24,19601.312875024996
206.3,19540.975576972414
206.36,19480.638278919832
206.42,19420.300980867276
206.48,19359.963682814694
206.54,19299.626384762112
206.6,19239.289086709527
206.66,19178.951788656945
