λ (nm),Traw,TM,Tm,T true,hv,n true,α1 (cm^-1),α2 (cm^-1),α3 (cm^-1),k
200.0,0.003158652416861183,0.003158652416861183,0.003158652416861183,0.003158652416861183,6.207668999999998,827.6755984549634,215.68916891858748,215.68916891858748,46691.949786119316,0.7334354321492796
200.06,0.0031693050729121016,0.0031693050729121016,0.0031693050729121016,0.0031693050729121016,6.205807257822653,824.8791726924258,215.68916891858748,215.68916891858748,46664.6458952589,0.7332264455976626
200.12,0.0031799577289630203,0.0031799577289630203,0.0031799577289630203,0.0031799577289630203,6.203946632020787,822.1014798582984,215.68916891858748,215.68916891858748,46637.43362432793,0.7330186417389205
200.18,0.003190610385013939,0.003190610385013939,0.003190610385013939,0.003190610385013939,6.202087121590568,819.3423323180825,215.68916891858748,215.68916891858748,46610.31236050925,0.7328120122335268
200.24,0.0032012630410648583,0.0032012630410648583,0.0032012630410648583,0.0032012630410648583,6.200228725529364,816.6015449348007,215.68916891858748,215.68916891858748,46583.281497113654,0.7326065488267767
200.3,0.003211915697115777,0.003211915697115777,0.003211915697115777,0.003211915697115777,6.198371442835746,813.8789350275805,215.68916891858748,215.68916891858748,46556.340433498415,0.7324022433476497
200.36,0.003222568353166696,0.003222568353166696,0.003222568353166696,0.003222568353166696,6.196515272509482,811.1743223310581,215.68916891858748,215.68916891858748,46529.488574987234,0.7321990877076928
200.42,0.0032332210092176094,0.0032332210092176094,0.0032332210092176094,0.0032332210092176094,6.194660213551542,808.4875289555888,215.68916891858748,215.68916891858748,46502.72533279147,0.7319970738999211
200.48,0.0032438736652685286,0.0032438736652685286,0.0032438736652685286,0.0032438736652685286,6.192806264964086,805.8183793482322,215.68916891858748,215.68916891858748,46476.05012393261,0.731796193997735
200.54,0.0032545263213194474,0.0032545263213194474,0.0032545263213194474,0.0032545263213194474,6.190953425750473,803.1667002545183,215.68916891858748,215.68916891858748,46449.462371166184,0.7315964401538602
200.6,0.003265178977370366,0.003265178977370366,0.003265178977370366,0.003265178977370366,6.189101694915253,800.5323206809484,215.68916891858748,215.68916891858748,46422.96150290676,0.7313978045992995
200.66,0.003275831633421285,0.003275831633421285,0.003275831633421285,0.003275831633421285,6.187251071464168,797.9150718582338,215.68916891858748,215.68916891858748,46396.54695315418,0.7312002796423048
200.72,0.0032864842894722037,0.0032864842894722037,0.0032864842894722037,0.0032864842894722037,6.1854015544041445,795.3147872052484,215.68916891858748,215.68916891858748,46370.218161421086,0.7310038576673654
200.78,0.0032971369455231225,0.0032971369455231225,0.0032971369455231225,0.0032971369455231225,6.1835531427433015,792.731302293682,215.68916891858748,215.68916891858748,46343.974572661515,0.7308085311342126
200.84,0.0033077896015740417,0.0033077896015740417,0.0033077896015740417,0.0033077896015740417,6.181705835490937,790.164454813372,215.68916891858748,215.68916891858748,46317.81563720072,0.7306142925768405
200.9,0.0033184422576249604,0.0033184422576249604,0.0033184422576249604,0.0033184422576249604,6.17985963165754,787.6140845383085,215.68916891858748,215.68916891858748,46291.74081066608,0.730421134602542
200.96,0.003329094913675879,0.003329094913675879,0.003329094913675879,0.003329094913675879,6.178014530254776,785.0800332932868,215.68916891858748,215.68916891858748,46265.7495539191,0.7302290498909615
