λ (nm),Traw,TM,Tm,T true,hv,n true,α1 (cm^-1),α2 (cm^-1),α3 (cm^-1),k
200.0,0.001956977338117382,0.001956977338117382,0.001956977338117382,0.001956977338117382,6.207668999999998,1335.9110250480553,340.34969984940057,340.34969984940057,27249.46388809751,0.4280335778255375
200.06,0.001947759697919343,0.001947759697919343,0.001947759697919343,0.001947759697919343,6.205807257822653,1342.2096965617318,340.34969984940057,340.34969984940057,27270.09325753668,0.4284861304898898
200.12,0.0019385420577213038,0.0019385420577213038,0.0019385420577213038,0.0019385420577213038,6.203946632020787,1348.5682630857716,340.34969984940057,340.34969984940057,27290.82048598342,0.42894041566946434
200.18,0.0019293244175232647,0.0019293244175232647,0.0019293244175232647,0.0019293244175232647,6.202087121590568,1354.9875830915012,340.34969984940057,340.34969984940057,27311.64650628713,0.42939644941406213
200.24,0.0019201067773252257,0.0019201067773252257,0.0019201067773252257,0.0019201067773252257,6.200228725529364,1361.468531534913,340.34969984940057,340.34969984940057,27332.572264699793,0.42985424800184796
200.3,0.0019108891371271864,0.0019108891371271864,0.0019108891371271864,0.0019108891371271864,6.198371442835746,1368.0120002542537,340.34969984940057,340.34969984940057,27353.598721134014,0.4303138279437256
200.36,0.0019016714969291473,0.0019016714969291473,0.0019016714969291473,0.0019016714969291473,6.196515272509482,1374.618898379176,340.34969984940057,340.34969984940057,27374.726849427178,0.4307752059878161
200.42,0.0018924538567311126,0.0018924538567311126,0.0018924538567311126,0.0018924538567311126,6.194660213551542,1381.2901527518459,340.34969984940057,340.34969984940057,27395.957637612122,0.43123839912404704
200.48,0.0018832362165330735,0.0018832362165330735,0.0018832362165330735,0.0018832362165330735,6.192806264964086,1388.0267083604308,340.34969984940057,340.34969984940057,27417.29208819442,0.4317034245888529
200.54,0.0018740185763350342,0.0018740185763350342,0.0018740185763350342,0.0018740185763350342,6.190953425750473,1394.8295287853493,340.34969984940057,340.34969984940057,27438.73121843634,0.432170299869988
200.6,0.0018648009361369952,0.0018648009361369952,0.0018648009361369952,0.0018648009361369952,6.189101694915253,1401.6995966587879,340.34969984940057,340.34969984940057,27460.276060647975,0.4326390427114619
200.66,0.0018555832959389561,0.0018555832959389561,0.0018555832959389561,0.0018555832959389561,6.187251071464168,1408.6379141378982,340.34969984940057,340.34969984940057,27481.927662485472,0.43310967111859305
