1.847 22130.2 5771.63 554.037 6.43269e-005 34.3364 6360
1.848 21737.5 5800.1 560.468 6.5772e-005 34.8623 6395.43
1.849 20691.2 5828.63 566.967 6.72487e-005 35.3958 6430.99
1.85 22799.3 5857.2 573.532 6.87577e-005 35.9371 6466.67
1.851 23575.1 5885.83 580.166 7.02998e-005 36.4862 6502.48
1.851 26469.7 5885.83 580.166 7.02998e-005 36.4862 6502.48
1.852 18692.9 5914.5 586.869 7.18755e-005 37.0432 6538.41
1.853 16508.1 5943.22 593.642 7.34857e-005 37.6084 6574.47
1.854 17602.6 5971.99 600.484 7.51311e-005 38.1816 6610.66
1.855 17482 6000.81 607.397 7.68124e-005 38.7632 6646.97
1.856 16579.7 6029.67 614.381 7.85304e-005 39.3531 6683.4
1.856 16858.4 6029.67 614.381 7.85304e-005 39.3531 6683.4
1.857 17478.3 6058.58 621.437 8.02859e-005 39.9515 6719.96
1.858 17495 6087.53 628.565 8.20796e-005 40.5586 6756.65
1.859 16150.9 6116.52 635.767 8.39124e-005 41.1743 6793.47
1.86 14634.7 6145.56 643.043 8.5785e-005 41.7989 6830.41
1.861 15490.8 6174.65 650.393 8.76984e-005 42.4325 6867.47
1.861 17314.6 6174.65 650.393 8.76984e-005 42.4325 6867.47
1.862 17338.2 6203.77 657.818 8.96534e-005 43.0752 6904.66
1.863 16499.1 6232.94 665.318 9.16509e-005 43.7271 6941.98
1.864 15737.4 6262.14 672.896 9.36918e-005 44.3883 6979.43
1.865 14952.9 6291.39 680.55 9.5777e-005 45.059 7017
1.866 15018 6320.68 688.282 9.79074e-005 45.7392 7054.7
1.866 14710.3 6320.68 688.282 9.79074e-005 45.7392 7054.7
1.867 13825.3 6350 696.093 0.000100084 46.4292 7092.52
1.868 14563 6379.36 703.982 0.000102308 47.129 7130.47
1.869 15278.5 6408.76 711.952 0.00010458 47.8388 7168.55
1.87 14680 6438.2 720.002 0.000106901 48.5587 7206.76
1.871 12657 6467.67 728.133 0.000109272 49.2888 7245.09
1.871 12234 6467.67 728.133 0.000109272 49.2888 7245.09
1.872 12494.1 6497.17 736.346 0.000111695 50.0293 7283.55
1.873 12212.4 6526.71 744.641 0.000114169 50.7804 7322.13
1.874 10507.3 6556.29 753.02 0.000116698 51.5421 7360.85
1.875 10455.5 6585.89 761.482 0.000119281 52.3145 7399.69
1.876 13165.9 6615.53 770.03 0.000121919 53.098 7438.66
1.876 12300.5 6615.53 770.03 0.000121919 53.098 7438.66
