wl,k
0.207,2.45
0.21,2.475
0.214,2.51
0.218,2.56
0.221,2.619
0.225,2.659
0.23,2.663
0.234,2.648
0.238,2.651
0.243,2.688
0.248,2.749
0.253,2.825
0.258,2.921
0.264,3.043
0.27,3.19
0.276,3.369
0.282,3.604
0.288,3.872
0.295,4.078
0.302,3.992
0.31,3.708
0.318,3.415
0.326,3.163
0.335,2.964
0.344,2.778
0.354,2.623
0.365,2.5
0.376,2.378
0.387,2.253
0.4,2.16
0.413,2.119
0.428,2.116
0.443,2.148
0.459,2.19
0.477,2.268
0.496,2.289
0.517,2
0.539,1.812
0.564,1.77
0.59,1.843
0.62,1.465
0.653,0.881
0.689,0.647
0.729,0.514
0.775,0.407
0.827,0.338
0.886,0.299
0.954,0.268
1.033,0.225
1.127,0.201
1.24,0.173
1.378,0.145
1.55,0.125
1.771,0.023
2.066,0
2.48,0
