wl,k
0.24961,3.74166
0.25184,3.68781
0.25476,3.55863
0.25742,3.40791
0.25979,3.2895
0.2629,3.08494
0.26466,2.92344
0.26644,2.82656
0.27046,2.622
0.27383,2.42825
0.27846,2.26675
0.28244,2.14835
0.28737,2.06219
0.29465,1.95456
0.30278,1.86844
0.31039,1.85766
0.31788,1.85766
0.329,1.85766
0.34329,1.86844
0.35564,1.84687
0.36283,1.82534
0.36892,1.73925
0.37738,1.62081
0.38623,1.39475
0.39004,1.19019
0.39473,1.04537
0.40114,0.88749
0.41002,0.71528
0.42532,0.55737
0.43788,0.47125
0.45538,0.38516
0.47584,0.34209
0.51025,0.22725
0.54396,0.21291
0.57342,0.16984
0.58562,0.17149
0.60605,0.17425
0.60804,0.17305
0.60974,0.17126
0.61222,0.17066
0.61426,0.16767
0.61694,0.16707
0.6198,0.16587
0.62334,0.16407
0.62594,0.16048
0.62971,0.15689
0.63352,0.1521
0.63604,0.1485
0.63908,0.14431
0.64113,0.14012
0.64371,0.13294
0.64613,0.12755
0.64787,0.12156
0.65015,0.11497
0.65209,0.10599
0.65386,0.0982
0.65565,0.08802
0.65762,0.07844
0.65942,0.06707
0.66106,0.05629
0.66307,0.04311
0.66508,0.02874
0.66637,0.02036
0.66674,0.01677
0.66765,0.01111
0.67347,0.00488
0.6746,0
0.67937,0
0.69328,0
0.69974,0
0.70425,0
0.70945,0
0.71448,0
0.72056,0
0.73094,0
0.73902,0
0.74641,0
0.7535,0
0.76347,0
0.77229,0
0.78133,0
0.79205,0
0.79903,0
0.80767,0
0.81861,0
0.83094,0
0.8414,0
0.85328,0
0.86609,0
0.87564,0
0.88418,0
0.89858,0
0.90692,0
0.91675,0
0.92611,0
0.93223,0
0.94262,0
0.95395,0
