λ (nm),Traw,TM,Tm,T true,hv,n true,α1 (cm^-1),α2 (cm^-1),α3 (cm^-1),k
200.0,0.0037622334730079846,0.0037622334730079846,0.0037622334730079846,0.0037622334730079846,6.207668999999998,695.9726973490933,1266.8862731905897,1266.8862731905897,152929.6917365833,2.4022139803770086
200.06,0.003741677441343457,0.003741677441343457,0.003741677441343457,0.003741677441343457,6.205807257822653,699.7842787679831,1266.8862731905897,1266.8862731905897,153079.77314881777,2.4052928251236962
200.12,0.0037211214096789296,0.0037211214096789296,0.0037211214096789296,0.0037211214096789296,6.203946632020787,703.6379691175623,1266.8862731905897,1266.8862731905897,153230.68135375713,2.4083860793761462
200.18,0.003700565378014402,0.003700565378014402,0.003700565378014402,0.003700565378014402,6.202087121590568,707.5344701219308,1266.8862731905897,1266.8862731905897,153382.42551142504,2.411493898837677
200.24,0.0036800093463498747,0.0036800093463498747,0.0036800093463498747,0.0036800093463498747,6.200228725529364,711.4744991841292,1266.8862731905897,1266.8862731905897,153535.01493491916,2.4146164417916363
200.3,0.003659453314685347,0.003659453314685347,0.003659453314685347,0.003659453314685347,6.198371442835746,715.4587898265019,1266.8862731905897,1266.8862731905897,153688.45909384103,2.417753869158963
200.36,0.0036388972830208193,0.0036388972830208193,0.0036388972830208193,0.0036388972830208193,6.196515272509482,719.4880921459827,1266.8862731905897,1266.8862731905897,153842.76761782233,2.4209063445573666
200.42,0.003618341251356302,0.003618341251356302,0.003618341251356302,0.003618341251356302,6.194660213551542,723.5631732849018,1266.8862731905897,1266.8862731905897,153997.9503001513,2.4240740343621807
200.48,0.0035977852196917744,0.0035977852196917744,0.0035977852196917744,0.0035977852196917744,6.192806264964086,727.6848179179382,1266.8862731905897,1266.8862731905897,154154.01710150254,2.4272571077689475
200.54,0.0035772291880272465,0.0035772291880272465,0.0035772291880272465,0.0035772291880272465,6.190953425750473,731.8538287558446,1266.8862731905897,1266.8862731905897,154310.97815377312,2.4304557368577813
200.6,0.003556673156362719,0.003556673156362719,0.003556673156362719,0.003556673156362719,6.189101694915253,736.0710270666576,1266.8862731905897,1266.8862731905897,154468.84376402976,2.433670096659591
200.66,0.0035361171246981915,0.0035361171246981915,0.0035361171246981915,0.0035361171246981915,6.187251071464168,740.3372532150798,1266.8862731905897,1266.8862731905897,154627.6244185704,2.4369003652242167
200.72,0.003515561093033664,0.003515561093033664,0.003515561093033664,0.003515561093033664,6.1854015544041445,744.6533672207851,1266.8862731905897,1266.8862731905897,154787.3307871037,2.4401467236905425
200.78,0.0034950050613691366,0.0034950050613691366,0.0034950050613691366,0.0034950050613691366,6.1835531427433015,749.0202493364263,1266.8862731905897,1266.8862731905897,154947.97372705172,2.443409356358666
200.84,0.003474449029704609,0.003474449029704609,0.003474449029704609,0.003474449029704609,6.181705835490937,753.438800646162,1266.8862731905897,1266.8862731905897,155109.56428797898,2.4466884507641837
200.9,0.0034538929980400816,0.0034538929980400816,0.0034538929980400816,0.0034538929980400816,6.17985963165754,757.9099436855554,1266.8862731905897,1266.8862731905897,155272.11371615317,2.4499841977546843
200.96,0.003433336966375554,0.003433336966375554,0.003433336966375554,0.003433336966375554,6.178014530254776,762.4346230837424,1266.8862731905897,1266.8862731905897,155435.633459242,2.4532967915685115
201.02,0.003413697094011122,0.003413697094011122,0.003413697094011122,0.003413697094011122,6.176170530295491,766.806634218812,1266.8862731905897,1266.8862731905897,155592.7824429336,2.4565103444995704
201.08,0.0033958895402468807,0.0033958895402468807,0.0033958895402468807,0.0033958895402468807,6.174327630793712,770.8104478553366,1266.8862731905897,1266.8862731905897,155736.05358325609,2.4595062087106965
201.14,0.0033780819864826475,0.0033780819864826475,0.0033780819864826475,0.0033780819864826475,6.172485830764642,774.8564692269866,1266.8862731905897,1266.8862731905897,155880.0779951999,2.4625153230279353
201.2,0.003360274432718406,0.003360274432718406,0.003360274432718406,0.003360274432718406,6.170645129224652,778.9453693638108,1266.8862731905897,1266.8862731905897,156024.8636415486,2.4655378239300005
201.26,0.0033424668789541643,0.0033424668789541643,0.0033424668789541643,0.0033424668789541643,6.168805525191294,783.0778335959525,1266.8862731905897,1266.8862731905897,156170.4186120177,2.468573850052104
201.32,0.003324659325189923,0.003324659325189923,0.003324659325189923,0.003324659325189923,6.166967017683289,787.254561936628,1266.8862731905897,1266.8862731905897,156316.7511259673,2.4716235422318364
201.38,0.0033068517714256816,0.0033068517714256816,0.0033068517714256816,0.0033068517714256816,6.165129605720527,791.4762694774702,1266.8862731905897,1266.8862731905897,156463.86953518723,2.4746870435562776
201.44,0.0032890442176614397,0.0032890442176614397,0.0032890442176614397,0.0032890442176614397,6.163293288324066,795.7436867967167,1266.8862731905897,1266.8862731905897,156611.78232675724,2.4777644994103616
201.5,0.0032712366638971983,0.0032712366638971983,0.0032712366638971983,0.0032712366638971983,6.161458064516127,800.0575603807298,1266.8862731905897,1266.8862731905897,156760.4981259848,2.4808560575265646
201.56,0.003253429110132957,0.003253429110132957,0.003253429110132957,0.003253429110132957,6.159623933320103,804.4186530593593,1266.8862731905897,1266.8862731905897,156910.02569942348,2.4839618680359363
201.62,0.003235621556368715,0.003235621556368715,0.003235621556368715,0.003235621556368715,6.157790893760539,808.8277444556845,1266.8862731905897,1266.8862731905897,157060.3739579738,2.4870820835205363
201.68,0.0032178140026044738,0.0032178140026044738,0.0032178140026044738,0.0032178140026044738,6.155958944863149,813.2856314506843,1266.8862731905897,1266.8862731905897,157211.5519600697,2.4902168590673073
201.74,0.0032000064488402324,0.0032000064488402324,0.0032000064488402324,0.0032000064488402324,6.1541280856548015,817.7931286634275,1266.8862731905897,1266.8862731905897,157363.56891495342,2.49336635232344
201.8,0.0031821988950759906,0.0031821988950759906,0.0031821988950759906,0.0031821988950759906,6.152298315163527,822.3510689473827,1266.8862731905897,1266.8862731905897,157516.43418604208,2.496530723553284
201.86,0.003164391341311749,0.003164391341311749,0.003164391341311749,0.003164391341311749,6.150469632418506,826.9603039034877,1266.8862731905897,1266.8862731905897,157670.15729438816,2.4997101356968425
201.92,0.003146583787547516,0.003146583787547516,0.003146583787547516,0.003146583787547516,6.148642036450079,831.6217044106364,1266.8862731905897,1266.8862731905897,157824.74792223793,2.502904754429922
201.98,0.0031287762337832746,0.0031287762337832746,0.0031287762337832746,0.0031287762337832746,6.146815526289731,836.3361611742961,1266.8862731905897,1266.8862731905897,157980.21591669123,2.5061147482259845
202.04,0.003114360517775631,0.003114360517775631,0.003114360517775631,0.003114360517775631,6.144990100970105,840.1904702694484,1266.8862731905897,1266.8862731905897,158106.72111004754,2.508866620202125
202.1,0.003101640720646288,0.003101640720646288,0.003101640720646288,0.003101640720646288,6.143165759524987,843.6200640379413,1266.8862731905897,1266.8862731905897,158218.83099616526,2.5113911892342378
202.16,0.003088920923516945,0.003088920923516945,0.003088920923516945,0.003088920923516945,6.141342500989316,847.0778996482989,1266.8862731905897,1266.8862731905897,158331.40158975826,2.513924129810415
202.22,0.003076201126387602,0.003076201126387602,0.003076201126387602,0.003076201126387602,6.139520324399168,850.5643274315357,1266.8862731905897,1266.8862731905897,158444.43669294467,2.5164655088302186
202.28,0.003063481329258259,0.003063481329258259,0.003063481329258259,0.003063481329258259,6.1376992287917735,854.0797035370653,1266.8862731905897,1266.8862731905897,158557.9401551047,2.519015394015733
202.34,0.003050761532128916,0.003050761532128916,0.003050761532128916,0.003050761532128916,6.135879213205495,857.6243900539956,1266.8862731905897,1266.8862731905897,158671.9158736673,2.521573853925179
202.4,0.003038041734999573,0.003038041734999573,0.003038041734999573,0.003038041734999573,6.1340602766798416,861.1987551354715,1266.8862731905897,1266.8862731905897,158786.3677949132,2.524140957966814
202.46,0.00302532193787023,0.00302532193787023,0.00302532193787023,0.00302532193787023,6.132242418255457,864.8031731261552,1266.8862731905897,1266.8862731905897,158901.29991479474,2.5267167764131164
202.52,0.003012602140740887,0.003012602140740887,0.003012602140740887,0.003012602140740887,6.130425636974126,868.4380246929339,1266.8862731905897,1266.8862731905897,159016.716279773,2.529301380415275
202.58,0.002999882343611544,0.002999882343611544,0.002999882343611544,0.002999882343611544,6.128609931878763,872.1036969589552,1266.8862731905897,1266.8862731905897,159132.62098767274,2.531894842017976
202.64,0.002987162546482207,0.002987162546482207,0.002987162546482207,0.002987162546482207,6.126795302013423,875.8005836410837,1266.8862731905897,1266.8862731905897,159249.01818855508,2.5344972341745082
202.7,0.002974442749352864,0.002974442749352864,0.002974442749352864,0.002974442749352864,6.124981746423286,879.5290851908935,1266.8862731905897,1266.8862731905897,159365.91208560977,2.5371086307621957
202.76,0.002961722952223521,0.002961722952223521,0.002961722952223521,0.002961722952223521,6.123169264154665,883.2896089392766,1266.8862731905897,1266.8862731905897,159483.30693606517,2.53972910659814
