λ (nm),TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α (cm^-1),discarded
272.0,0.537764669653588,0.5193553023500457,2.1393135297013037,982.2104147189456,15.0,953.5769169303716,4.226383451226551,-0.0021232020778441927,-980.9170661532206,yes
279.0,0.5504190172340804,0.5291092427950893,2.1356856520863747,546.0075495062011,8.5,555.2081125991682,2.4565853810254326,0.012325289872354908,5551.403600911091,yes
298.0,0.5846326236554115,0.5473863457223016,2.1921080785651252,448.48294670985507,7.0,475.7977082419723,2.160842127269261,0.016183197140383455,6824.2970802448335,no
313.0,0.5905881912565714,0.5618501015688099,2.109322346254029,494.05274401238796,6.5,482.2638900149835,2.1074943949804945,0.016472875090572235,6613.5544240311865,no
337.0,0.6001377729508212,0.5682927027185322,2.1032836536555735,466.210064126541,6.0,480.6769634912771,2.0945459162696287,0.017325387406445677,6460.452201387165,no
362.0,0.6050924999665775,0.5750147160949314,2.0731781033023124,464.27318067930827,5.5,480.1806455578001,2.062433689066682,0.018505306343676687,6423.882260963898,no
397.0,0.6120291177886364,0.5820579937777743,2.051981786413914,457.40375723734303,5.0,483.6787570783041,2.0562184192854667,0.01959540773645078,6202.598386793992,no
434.0,0.6173688073394064,0.5895120286496682,2.0181256864408392,482.45661279276976,4.5,483.8648090952911,2.0230703137856505,0.02124315696812698,6150.907453467516,no
489.0,0.625306183698659,0.5980042464549242,1.9929653353529642,456.6279858680672,4.0,490.72604658564785,2.026177948676258,0.022661830036962413,5823.659612353507,no
546.0,0.6332873014251583,0.606798986014057,1.9730783238538907,453.28751088947195,3.5,484.26866204362403,1.979563425317142,0.025315525856259992,5826.452018446069,no
653.0,0.6482613451708773,0.6227034205262743,1.9463386395762696,614.18612761497,4.0,671.0034797872196,2.705714111422488,0.007731660106609796,1487.8852429389653,yes
740.0,0.6482613451708773,0.6356350635408807,1.857876480073556,583.1874758726943,2.5,497.8802465723544,1.9163748492081174,0.03092906761307737,5252.2449511149125,yes
