λ (nm),TMS,TmS,TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α1 (cm^-1),α2 (cm^-1),discarded
420.0,0.7736238128927865,0.7728927508629864,0.8110296756349598,0.7736224859282967,1.9852668548122465,1160.648742624906,23.0,2432.9222987288476,1.9494301167260843,0.0005631269587973336,168.48719207581573,168.48719207581573,yes
424.0,0.7743176830440042,0.7731503028024439,0.8042965822797964,0.7746447062792526,1.954708655683507,1334.7075740639427,22.5,2440.261358709779,1.9252135935369403,0.0006718036555299017,199.10692725165165,199.10692725165165,yes
435.0,0.7762389014024009,0.7750324699660582,0.7856536956531885,0.7760047835834125,1.8687740452876678,3102.394248844307,21.0,2444.1157086473268,1.8434828277735797,0.0010293069972229017,297.3483494955437,297.3483494955437,no
440.0,0.7769587093871523,0.7758830318966208,0.7863909886424588,0.7773880180945835,1.8636411336550063,3072.2146122973254,20.5,2419.9938059721335,1.8202753263839835,0.0010867497617954808,310.3750061770127,310.3750061770127,no
450.0,0.778398325356655,0.7770980831482176,0.7878655746209995,0.7786077889280363,1.8606898980000002,2909.364435207229,20.0,2418.4578015051916,1.8162392391857929,0.0011044803331503271,308.42909339195336,308.42909339195336,no
456.0,0.779190547824076,0.777823233495977,0.7882920782143085,0.7793357559523924,1.8571963367686612,2981.517339307319,20.5,2516.6967581533677,1.88646715643431,0.0009141583976639221,251.92221985249068,251.92221985249074,no
467.0,0.7806354984374122,0.7792368298622381,0.7890699867615731,0.7807548576796652,1.8507245487139523,2994.2730554741283,20.0,2523.336064918537,1.884852721555034,0.0009243181348762315,248.72214664727952,248.72214664727954,no
473.0,0.7812807836141588,0.7800078824256532,0.7894240142008454,0.7815289131672686,1.8471118921266116,3074.168022929401,19.5,2496.735590116532,1.8613425136255732,0.0009950242769352275,264.3518781025968,264.3518781025968,no
485.0,0.782571353967652,0.7813853041456964,0.7901320690793898,0.7829117140011468,1.8410707476861858,2615.4233454013456,19.0,2502.6197422291334,1.8596271765663424,0.0010080980871947404,261.19864287248816,261.19864287248816,no
491.0,0.783157060918598,0.7820740150057179,0.7903351732482294,0.7836031144180858,1.8375446714468981,2904.2566828849854,18.5,2471.640592238657,1.8330899032382388,0.0010920578957238096,279.49499490840316,279.49499490840316,no
507.0,0.7847189461211207,0.7841183539703913,0.7908767843651351,0.7856554605487454,1.8276581999397155,2222.429103624074,18.0,2496.6375004639863,1.841666588534394,0.0010757952797451618,266.64383018650705,266.64383018650705,no
511.0,0.7850985031777878,0.784626248419792,0.7908306710312104,0.7861653442940653,1.824419423902218,2293.825491204965,17.5,2450.779651554314,1.8046354884909948,0.001193959349820927,293.61517981074525,293.61517981074525,no
535.0,0.7873891967710401,0.7868816540160967,0.7905523689505899,0.7884296129915613,1.8082301639800133,1645.2891633658198,17.0,2514.8900237294483,1.8354106533771983,0.0011299390280271758,265.4062167816499,265.40621678164985,no
539.0,0.7878230518895917,0.7872597495330752,0.7908180573239109,0.7888091943161624,1.806898290275339,1704.39975694961,16.5,2460.9852275206895,1.7947470748554275,0.001264525833913219,294.81447644499264,294.81447644499264,no
582.0,0.7924869944140203,0.7921270982321804,0.7936742073371117,0.7936957656842745,1.7902154233340448,1519.681806688679,15.0,2438.2540464715426,1.761752062010219,0.0013967916758435015,301.59109741754776,301.59109741754776,no
585.0,0.7927863976318306,0.7924642599970185,0.7939445581039002,0.7940342590054501,1.789490154474959,1506.9106149646325,15.5,2533.5428578148358,1.8298610334796863,0.0011608657844944614,249.36529370061893,249.36529370061893,no
648.0,0.7990302435449746,0.798513403102001,0.7995825353530193,0.8001074694683423,1.7800270174416373,4017.184686024488,14.0,2548.275928148222,1.8307691530992791,0.001149641348299652,222.9447416099538,222.9447416099538,yes
653.0,0.7996303616954419,0.7989914217097892,0.8003558990251937,0.8005873899397038,1.7808308079757718,3415.1374836558275,13.5,2475.1087976797667,1.779006334782484,0.0013416033306620564,258.1789382933852,258.1789382933852,no
681.0,0.8029910233380582,0.8015173753487882,0.8046867355893704,0.8031234568569002,1.7859156886388192,3499.404660834675,13.0,2478.560453978524,1.7865739982790916,0.001289963517069452,238.0346495520847,238.03464955208472,no
692.0,0.8043043990964313,0.8025072030060405,0.8059198443771745,0.804117247533232,1.7858761317442815,3354.1239085011953,12.5,2421.7805048862674,1.7456077132174563,0.0014475057780086265,262.8597409376115,262.8597409376115,yes
720.0,0.807647537390472,0.8051725217860821,0.80905866674613,0.8067932882553972,1.7853181570456624,3709.531932541143,12.0,2419.7367751800157,1.743589669618361,0.0014386565733884014,251.0929401108704,251.0929401108704,yes
735.0,0.8099334338428844,0.8065974495278746,0.8112278467395678,0.8082239481418367,1.7872815893925558,3189.130467921623,12.5,2570.2441222825328,1.8540775566688301,0.0009588956843646053,163.94338163585311,163.94338163585311,yes
765.0,0.8144960953371138,0.8088679473319289,0.8155575415600248,0.8105036243001047,1.7937878023143923,2518.8862013382886,12.0,2558.8310914355984,1.8525640239695087,0.0009197691808317236,151.08706413067947,151.08706413067947,yes
785.0,0.8144960953371138,0.8103790914400236,0.8155575415600248,0.8120208771196316,1.7857910709676204,2569.2973322295848,11.5,2527.591314225942,1.821788859083305,0.0010576428188624055,169.30868330497495,169.30868330497498,yes
