λ (nm),Traw,TM,Tm,T true,hv,n true,α1 (cm^-1),α2 (cm^-1),α3 (cm^-1),k
200.0,0.004375784836906874,0.004375784836906874,0.004375784836906874,0.004375784836906874,6.207668999999998,597.453390589527,883.9863397696419,883.9863397696422,71038.66735488758,1.1158727774146195
200.06,0.004352857927320315,0.004352857927320315,0.004352857927320315,0.004352857927320315,6.205807257822653,600.5897967654565,883.9863397696419,883.9863397696422,71107.37281803595,1.1172870859061532
200.12,0.004329931017733755,0.004329931017733755,0.004329931017733755,0.004329931017733755,6.203946632020787,603.7594150603552,883.9863397696419,883.9863397696422,71176.44111650238,1.1187077447549127
200.18,0.004307004108147196,0.004307004108147196,0.004307004108147196,0.004307004108147196,6.202087121590568,606.9627758549927,883.9863397696419,883.9863397696422,71245.87610292707,1.1201348196619574
200.24,0.0042840771985606365,0.0042840771985606365,0.0042840771985606365,0.0042840771985606365,6.200228725529364,610.2004208838014,883.9863397696419,883.9863397696422,71315.68169163974,1.1215683773711467
200.3,0.0042611502889740764,0.0042611502889740764,0.0042611502889740764,0.0042611502889740764,6.198371442835746,613.4729035403149,883.9863397696419,883.9863397696422,71385.86185998378,1.1230084856914255
200.36,0.004238223379387517,0.004238223379387517,0.004238223379387517,0.004238223379387517,6.196515272509482,616.7807891925213,883.9863397696419,883.9863397696422,71456.42064967605,1.124455213519705
200.42,0.004215296469800968,0.004215296469800968,0.004215296469800968,0.004215296469800968,6.194660213551542,620.1246555085056,883.9863397696419,883.9863397696422,71527.36216820362,1.1259086308643667
200.48,0.004192369560214409,0.004192369560214409,0.004192369560214409,0.004192369560214409,6.192806264964086,623.5050927927848,883.9863397696419,883.9863397696422,71598.69059025869,1.1273688088694067
200.54,0.00416944265062785,0.00416944265062785,0.00416944265062785,0.00416944265062785,6.190953425750473,626.9227043337248,883.9863397696419,883.9863397696422,71670.41015921252,1.128835819839232
200.6,0.004146515741041291,0.004146515741041291,0.004146515741041291,0.004146515741041291,6.189101694915253,630.3781067624974,883.9863397696419,883.9863397696422,71742.52518863042,1.1303097372641486
200.66,0.004123588831454731,0.004123588831454731,0.004123588831454731,0.004123588831454731,6.187251071464168,633.8719304240055,883.9863397696419,883.9863397696422,71815.04006382846,1.1317906358465502
200.72,0.0041006619218681714,0.0041006619218681714,0.0041006619218681714,0.0041006619218681714,6.1854015544041445,637.4048197602511,883.9863397696419,883.9863397696422,71887.95924347364,1.1332785915278318
200.78,0.004077735012281612,0.004077735012281612,0.004077735012281612,0.004077735012281612,6.1835531427433015,640.9774337066394,883.9863397696419,883.9863397696422,71961.28726122902,1.134773681516063
