wl,n
0.20664,1.78909
0.20699,1.79334
0.20733,1.79762
0.20768,1.80194
0.20803,1.80629
0.20838,1.81067
0.20873,1.81508
0.20908,1.81952
0.20943,1.82399
0.20979,1.8285
0.21014,1.83304
0.2105,1.83761
0.21086,1.84222
0.21122,1.84686
0.21158,1.85154
0.21194,1.85625
0.2123,1.86099
0.21267,1.86577
0.21303,1.87059
0.2134,1.87544
0.21377,1.88033
0.21414,1.88525
0.21451,1.89021
0.21488,1.89521
0.21525,1.90024
0.21562,1.90531
0.216,1.91042
0.21638,1.91557
0.21676,1.92075
0.21714,1.92598
0.21752,1.93124
0.2179,1.93655
0.21828,1.94189
0.21867,1.94728
0.21905,1.9527
0.21944,1.95817
0.21983,1.96367
0.22022,1.96922
0.22061,1.97481
0.22101,1.98045
0.2214,1.98612
0.2218,1.99184
0.22219,1.9976
0.22259,2.00341
0.22299,2.00926
0.22339,2.01516
0.2238,2.0211
0.2242,2.02709
0.22461,2.03312
0.22502,2.0392
0.22543,2.04532
0.22584,2.0515
0.22625,2.05772
0.22666,2.06398
0.22708,2.0703
0.22749,2.07666
0.22791,2.08308
0.22833,2.08954
0.22875,2.09605
0.22918,2.10262
0.2296,2.10923
0.23003,2.1159
0.23045,2.12261
0.23088,2.12938
0.23131,2.1362
0.23175,2.14308
0.23218,2.15
0.23262,2.15698
0.23305,2.16402
0.23349,2.17111
0.23393,2.17825
0.23437,2.18545
0.23482,2.19271
0.23526,2.20002
0.23571,2.20738
0.23616,2.21481
0.23661,2.22229
0.23706,2.22983
0.23752,2.23742
0.23797,2.24508
0.23843,2.25279
0.23889,2.26057
0.23935,2.2684
0.23981,2.27629
0.24028,2.28424
0.24075,2.29226
0.24121,2.30033
0.24168,2.30846
0.24216,2.31666
0.24263,2.32492
0.24311,2.33324
0.24358,2.34162
0.24406,2.35006
0.24454,2.35857
0.24503,2.36714
0.24551,2.37577
0.246,2.38447
0.24649,2.39323
0.24698,2.40205
0.24747,2.41094
0.24797,2.41989
0.24847,2.42891
0.24896,2.43798
0.24947,2.44713
0.24997,2.45633
0.25047,2.4656
0.25098,2.47493
0.25149,2.48433
0.252,2.49379
0.25251,2.50332
0.25303,2.5129
0.25355,2.52255
0.25407,2.53226
0.25459,2.54204
0.25511,2.55187
0.25564,2.56177
0.25617,2.57172
0.2567,2.58174
0.25723,2.59182
0.25776,2.60195
0.2583,2.61214
0.25884,2.62239
0.25938,2.63269
0.25992,2.64305
0.26047,2.65347
0.26102,2.66393
0.26157,2.67445
0.26212,2.68501
0.26268,2.69563
0.26324,2.70629
0.2638,2.717
0.26436,2.72775
0.26492,2.73854
0.26549,2.74937
0.26606,2.76024
0.26663,2.77115
0.26721,2.78208
0.26778,2.79305
0.26836,2.80404
0.26895,2.81506
0.26953,2.82611
0.27012,2.83717
0.27071,2.84824
0.2713,2.85933
0.2719,2.87043
0.27249,2.88153
0.27309,2.89263
0.2737,2.90374
0.2743,2.91483
0.27491,2.92591
0.27552,2.93697
0.27613,2.94802
0.27675,2.95904
0.27737,2.97002
0.27799,2.98097
0.27862,2.99188
0.27924,3.00274
0.27987,3.01354
0.28051,3.02428
0.28114,3.03496
0.28178,3.04556
0.28242,3.05608
0.28307,3.06652
0.28372,3.07686
0.28437,3.08709
0.28502,3.09722
0.28568,3.10723
0.28634,3.11711
0.287,3.12686
0.28767,3.13646
0.28834,3.14592
0.28901,3.15521
0.28968,3.16434
0.29036,3.17329
0.29104,3.18205
0.29173,3.19061
0.29242,3.19897
0.29311,3.20711
0.2938,3.21503
0.2945,3.22272
0.2952,3.23016
0.29591,3.23735
0.29661,3.24428
0.29732,3.25093
0.29804,3.25731
0.29876,3.26339
0.29948,3.26918
0.3002,3.27465
0.30093,3.27981
0.30166,3.28464
0.3024,3.28914
0.30314,3.29329
0.30388,3.2971
0.30463,3.30054
0.30538,3.30362
0.30613,3.30633
0.30689,3.30866
0.30765,3.31061
0.30842,3.31216
0.30919,3.31332
0.30996,3.31408
0.31074,3.31444
0.31152,3.31439
0.3123,3.31392
0.31309,3.31305
0.31388,3.31176
0.31468,3.31006
0.31548,3.30794
0.31629,3.3054
0.3171,3.30245
0.31791,3.29909
