λ (nm),TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α (cm^-1),discarded
322.0,0.6050937952344463,0.6015779833322877,1.914689262585442,1062.8810312625742,9.0,756.7807624530088,2.007171248141672,0.009886108712249481,3858.152360620251,yes
333.0,0.6091254221582549,0.6022139298644592,1.929613244181892,832.7234197410882,8.5,733.4371300918547,1.9604203650327825,0.010745501544941615,4055.013659186349,yes
355.0,0.6171667252240729,0.6059485935234674,1.9439162460383306,764.146560264125,8.0,730.4841465746977,1.9670001189518114,0.011170521500640055,3954.1665671186056,yes
373.0,0.6207717607338129,0.6090104060409983,1.9374347004928154,746.8850781372902,7.5,721.9598160620366,1.937564377735103,0.011912600773568307,4013.355396824695,no
401.0,0.6263898416561108,0.6130971288552582,1.9334197638892807,729.8893332131983,7.0,725.9158234612796,1.944144131654132,0.012427974799504566,3894.626865747893,no
425.0,0.6301880165818747,0.6166000341246238,1.9230178464016576,740.4488232765898,6.5,718.2720652252858,1.913323179086049,0.013357653772255975,3949.5818315402694,no
464.0,0.636360050836241,0.6207538500822677,1.9193175854527984,753.8647300882184,6.0,725.2577741956158,1.928214201113325,0.014009020298972783,3794.020280624412,no
498.0,0.6411244434773034,0.6243751255325213,1.9170419160937,736.1442623128196,5.5,714.3818757967431,1.8970469457073984,0.015255551889083238,3849.5365253977347,yes
552.0,0.6486841705426928,0.6299105931139136,1.9172126658092266,717.9067790671241,5.0,719.7949526468013,1.9115916648968307,0.016097131792698886,3664.5384770876462,no
604.0,0.6552070053652597,0.6352370204534318,1.9148413072860693,645.1563171635178,4.5,709.7193876218021,1.882502226517966,0.01764932689049915,3671.986470198471,yes
689.0,0.6658759437379922,0.644023496641537,1.9131753038088182,946.5221753084982,4.0,720.2685489702005,1.9088212421940818,0.018464182956020574,3367.601830430892,no
774.0,0.6658759437379922,0.6528099728296421,1.8539320844260945,882.5156158190988,3.5,730.6092878905544,1.8762687754367806,0.020420961439180697,3315.4698933628174,yes
