λ (nm),TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α (cm^-1),discarded
286.0,0.2915139115461527,0.28378946269446137,2.164736842129934,1707.3077877774576,9.0,594.5295404746248,2.2726228448264316,0.037164102996886474,16329.29691640181,yes
296.0,0.29635851685215886,0.2856793258444691,2.21544897015617,729.7637002593598,8.5,567.8307272910564,2.221413783054896,0.04031910454664434,17117.05441122388,yes
313.0,0.3045943458723694,0.2897161333251332,2.277435326201665,538.4828149151448,9.0,618.4588356013226,2.4871711553520037,0.036179832610702754,14525.533078324881,no
328.0,0.30692938122340724,0.2932869724511387,2.2302266878795995,547.234461677137,8.5,625.0485690875456,2.461566624466236,0.03738798421206918,14324.123967459476,yes
350.0,0.3103617896633174,0.2961290282302341,2.2216657620248808,531.0164933713013,8.0,630.1577959791781,2.472161602763795,0.039073751946961915,14029.00709311605,yes
372.0,0.31245391980118503,0.2989710840093295,2.189512563710252,545.982197687284,6.5,552.1776947245654,2.134888126958163,0.05084125514972001,17174.463836305873,no
402.0,0.31530233313148803,0.30170967397564874,2.1732225018252618,547.5815024864448,6.0,554.9362750418312,2.1295906378093834,0.054305257451202515,16975.621677611958,no
432.0,0.3176569300225462,0.30444461492135994,2.1470424567116884,536.6332979596644,5.5,553.3192863915166,2.0978057029167063,0.05851671975111431,17021.823785395693,no
475.0,0.3210280350984183,0.3074595102064527,2.1341370201929712,482.4197900300218,5.0,556.4310017416899,2.0969227880585763,0.06342877083808465,16780.409304518507,no
521.0,0.32345244938598366,0.3106876507606632,2.1039390529604596,549.7283644337183,4.5,557.1691814696453,2.0699938848856134,0.06929168676494059,16712.95616856679,no
596.0,0.3274052987678837,0.31585511068519706,2.0600610764373553,803.356968468907,4.0,578.6236212284688,2.1048690217817456,0.07470134654571055,15750.416209481176,no
659.0,0.332519622127259,0.3201957770218055,2.0618334783794086,688.7219495046369,3.5,559.332270085385,2.0364431202766764,0.08544406434071876,16293.198471966958,no
786.0,0.34282944858187264,0.3201957770218055,2.2275947310856976,739.1888432757364,3.0,529.2704204886372,2.0819132354703673,0.10502359587541543,16790.908766197885,yes
