λ (nm),TM,Tm,TM Corrected,Tm Corrected,n1,Δn1,d1 (nm),Δd1 (nm),m,Δm,d2 (nm),Δd2 (nm),n2,Δn2,κ,α1 (cm^-1),α2 (cm^-1),discarded
327.0,0.7523425691738217,0.7413651454132207,0.7877187780107634,0.7504081900418831,2.037155048340773,0.008858915089971464,815.0442506737471,5.145358605141762,23.0,0.1451985555636193,1845.9566948833183,11.653488944784806,2.0858494311624045,0.013167927153390352,0.0005806967748865169,223.15751950419175,223.15751950419173,yes
331.0,0.7509421613200589,0.7516271936549173,0.7642466510550796,0.7616706325569895,1.8870793221425228,0.008540877567391815,2185.7495662338542,35.29932478800345,20.5,0.33107002253736173,1797.884148371671,29.035392464437784,1.8818682775099715,0.030391715758418165,0.0012078105694409843,458.54366306754093,458.5436630675409,no
342.0,0.7603642550159139,0.7483336837962781,0.7683663837398711,0.7568182548289548,1.920797968104808,0.008710195094872654,1915.7729760931657,25.541744480507585,20.0,0.2666468814336743,1780.5100051071006,23.738372011163197,1.8969831284604237,0.02529123176681336,0.001250223336062477,459.3792336749007,459.3792336749007,no
348.0,0.7615276807704136,0.7564320759392464,0.7742566114709346,0.7653725366503364,1.904392245769577,0.008322160091300036,2285.2206629053208,34.89666213577639,19.5,0.29777645664314245,1781.6707705763984,27.207159434199852,1.882006945867315,0.028739351780418025,0.0011702880311510024,422.59405531586805,422.59405531586805,no
358.0,0.7678562289566588,0.7543077630041825,0.7751352806646532,0.7620681627037742,1.9172249908122414,0.008591319453604142,1839.8214421958944,21.443587676132562,19.0,0.22144984100209109,1773.9180410741205,20.67546674455815,1.8864443333023102,0.02198698935100486,0.001237946666539517,434.53901152363346,434.53901152363346,no
366.0,0.7707628803190893,0.7598697107183913,0.7824912124266381,0.7669981301908265,1.9228154989339241,0.008148629217707985,2484.4256601175744,37.17839343194915,19.5,0.29180936405587565,1855.872288307693,27.77235447282003,1.979352132722521,0.02962017882525128,0.0008612499183642566,295.70452638666205,295.704526386662,yes
376.0,0.7747062386671215,0.7598642315831515,0.7807079362294191,0.7667983531989101,1.9114379488640472,0.008486405745185659,1774.4219975128947,17.958839115121656,19.0,0.19229807997510007,1868.7501742459451,18.913530024243627,1.9812934897253314,0.020052575470597203,0.0009031207270695078,301.8337703687488,301.83377036874873,no
386.0,0.7793891647451117,0.7606623537060512,0.7898677609051294,0.7654442315270894,1.9502034336221752,0.007997870366647118,1853.422280702683,18.56903011785834,18.5,0.18534743040325316,1830.8346393219072,18.342729507653097,1.9804614795812698,0.01984180790556828,0.0008786391440095433,286.0441740908607,286.0441740908607,no
398.0,0.7833897173183529,0.7655002811215481,0.7880301668397149,0.7714790591888426,1.911128207536273,0.008384584098575376,1781.094359441037,16.132615525610422,17.0,0.1539808727604116,1770.1585831131588,16.033562561888107,1.8764602115735711,0.01699641065166383,0.001203620698953268,380.02873824524613,380.02873824524613,no
409.0,0.7878036242190815,0.7637943385549499,0.7968335449844974,0.7678456009966763,1.9560708339372879,0.007859416916977611,1782.634619971969,15.261679782556616,17.5,0.14982284827327122,1829.5605342657727,15.66342687611805,1.9850375353736085,0.01699451299880162,0.0008399168898080841,258.0612939508132,258.06129395081314,no
422.0,0.7908756116356843,0.770631447988971,0.794576701772253,0.7756585818878254,1.9079056279325255,0.008295298450294369,1880.4730794662657,15.941777447333255,16.0,0.13564056935594532,1769.4795542158727,15.00082588734658,1.8725774975679503,0.015874842370828007,0.0011936227559328685,355.4385290233462,355.4385290233462,no
435.0,0.7959296573046891,0.7671668120928735,0.8033880091231487,0.7703961394869846,1.9584072143814266,0.007732478379693239,1780.4455593867724,13.432375833178385,16.5,0.12448243647718127,1832.4840582930174,13.824974568600476,1.9905842696673526,0.015017744236444999,0.0007958044813487211,229.89365630335425,229.89365630335425,no
449.0,0.7989805064304906,0.7755138763215788,0.8020167482837887,0.7795767440697928,1.9105905674431338,0.008212956509361003,1682.6833198132442,11.207225818685218,15.0,0.0999049466413776,1762.5440308263371,11.739124490185587,1.867862773418268,0.012440582047451175,0.0011773659008344128,329.51483872147173,329.51483872147173,no
464.0,0.8036861875706364,0.7714634433797972,0.8095154371159613,0.7736495070876812,1.9586632337536707,0.007616638967029972,1644.3054942272,10.014392015554865,15.5,0.09440038775401223,1835.9460360668859,11.181549529042307,1.9946056520303168,0.012147841739871375,0.0007394633331088624,200.26660128395037,200.2666012839504,no
482.0,0.805618041746137,0.7805667404253587,0.8077372921271554,0.7835820706945213,1.9077889691779888,0.008130104858803945,1803.5895722376888,11.118499061898003,14.0,0.08630510469931808,1768.539421555498,10.902427138729907,1.8714681507092017,0.011536946763456919,0.001142866901969344,297.9603537973292,297.9603537973292,no
499.0,0.8117219662475555,0.7769327388836836,0.8157538868683402,0.7786048288580585,1.9546714335240516,0.007501409771189611,1574.3873976001364,7.9110812074257355,14.5,0.07286051557737852,1850.8225668789796,9.300130101037903,2.00666979911921,0.010083241114302083,0.0006120445083761461,154.13182614705227,154.13182614705227,no
520.0,0.8137689989367142,0.7854883359507867,0.8153447752213792,0.7874431585421717,1.9140386027643128,0.008051465130324896,1743.6175980920564,8.886247630649358,13.0,0.06625375846449938,1765.899598429468,8.999806574377107,1.874796191285448,0.00955479184827611,0.0010807205788818416,261.16798701526943,261.16798701526943,no
