λ (nm),Ts
216.26,0.7172860000000001
216.32,0.7173520000000001
216.38,0.7174180000000001
216.44,0.7174840000000001
216.5,0.7175500000000001
216.56,0.717616
216.62,0.717682
216.68,0.717748
216.74,0.7178140000000001
216.8,0.7178800000000001
216.86,0.7179460000000001
216.92,0.7180120000000001
216.98,0.7180780000000001
217.04,0.7181440000000001
217.1,0.71821
217.16,0.718276
217.22,0.718342
217.28,0.718408
217.34,0.7184740000000001
217.4,0.7185400000000001
217.46,0.7186060000000001
217.52,0.7186720000000001
217.57999999999998,0.7187380000000001
217.64,0.718804
217.7,0.71887
217.76,0.718936
217.82,0.719002
217.88,0.719068
217.94,0.719134
218.0,0.7192000000000001
218.06,0.719272
218.12,0.7193440000000001
218.18,0.719416
218.24,0.719488
218.3,0.7195600000000001
218.36,0.719632
218.42,0.719704
218.48,0.7197760000000001
218.54,0.719848
218.6,0.71992
218.66,0.7199920000000001
218.72,0.720064
218.78,0.720136
218.84,0.7202080000000001
218.9,0.72028
218.96,0.7203520000000001
219.02,0.720422
219.07999999999998,0.720488
219.14,0.720554
219.2,0.72062
219.26,0.720686
219.32,0.7207520000000001
219.38,0.7208180000000001
219.44,0.7208840000000001
219.5,0.72095
219.56,0.721016
219.62,0.721082
219.68,0.721148
219.74,0.721214
219.8,0.72128
219.86,0.721346
219.92,0.721412
219.98,0.7214780000000001
220.04,0.7215440000000001
220.1,0.72161
220.16,0.721676
220.22,0.721742
220.28,0.721808
220.34,0.721874
220.4,0.72194
220.46,0.722006
220.52,0.722072
220.57999999999998,0.7221380000000001
220.64,0.722204
220.7,0.72227
220.76,0.722336
220.82,0.722402
220.88,0.722468
220.94,0.722534
221.0,0.7226
221.06,0.722672
221.12,0.722744
221.18,0.722816
221.24,0.722888
221.3,0.72296
221.36,0.723032
221.42,0.723104
221.48,0.723176
221.54,0.723248
221.6,0.72332
221.66,0.723392
221.72,0.723464
221.78,0.723536
221.84,0.723608
221.9,0.72368
221.96,0.7237520000000001
222.02,0.723822
222.07999999999998,0.723888
222.14,0.723954
222.2,0.72402
222.26,0.724086
222.32,0.724152
222.38,0.724218
222.44,0.724284
222.5,0.72435
222.56,0.724416
222.62,0.724482
222.68,0.724548
222.74,0.724614
222.8,0.72468
222.86,0.724746
222.92,0.724812
222.98,0.724878
223.04,0.724944
223.1,0.7250099999999999
223.16,0.7250759999999999
223.22,0.725142
223.28,0.725208
223.34,0.725274
223.4,0.72534
223.46,0.725406
223.52,0.725472
223.57999999999998,0.725538
223.64,0.7256039999999999
223.7,0.7256699999999999
223.76,0.7257359999999999
223.82,0.725802
223.88,0.725868
223.94,0.725934
224.0,0.726
224.06,0.726066
224.12,0.726132
224.18,0.726198
224.24,0.726264
224.3,0.72633
224.36,0.726396
224.42,0.7264619999999999
224.48,0.726528
224.54,0.726594
224.6,0.72666
224.66,0.726726
224.72,0.726792
224.78,0.726858
224.84,0.726924
224.9,0.72699
224.96,0.7270559999999999
225.02,0.727144
225.07999999999998,0.7272759999999999
225.14,0.7274079999999999
225.2,0.72754
225.26,0.727672
225.32,0.727804
225.38,0.727936
225.44,0.728068
225.5,0.7282
225.56,0.728332
225.62,0.728464
225.68,0.728596
225.74,0.728728
225.8,0.7288600000000001
225.86,0.7289920000000001
225.92,0.729124
225.98,0.729256
226.04,0.729388
226.1,0.7295200000000001
226.16,0.7296520000000001
226.22,0.7297840000000001
226.28,0.729916
226.34,0.730048
226.4,0.73018
226.46,0.7303120000000001
226.52,0.7304440000000001
226.57999999999998,0.730576
226.64,0.730708
226.7,0.73084
226.76,0.7309720000000001
226.82,0.731104
226.88,0.731236
226.94,0.731368
227.0,0.7315
227.06,0.731626
227.12,0.7317520000000001
227.18,0.731878
227.24,0.7320040000000001
227.3,0.7321300000000001
227.36,0.732256
227.42,0.732382
227.48,0.732508
227.54,0.732634
227.6,0.73276
227.66,0.732886
227.72,0.733012
227.78,0.7331380000000001
227.84,0.733264
227.9,0.7333900000000001
227.96,0.7335160000000001
228.02,0.733642
228.07999999999998,0.733768
228.14,0.7338939999999999
228.2,0.73402
228.26,0.734146
228.32,0.7342719999999999
228.38,0.734398
228.44,0.734524
228.5,0.73465
228.56,0.734776
228.62,0.7349019999999999
228.68,0.735028
228.74,0.735154
228.8,0.7352799999999999
228.86,0.735406
228.92,0.7355319999999999
228.98,0.7356579999999999
229.04,0.7357839999999999
229.1,0.73591
229.16,0.7360359999999999
229.22,0.736162
229.28,0.7362879999999999
229.34,0.7364139999999999
229.4,0.73654
229.46,0.7366659999999999
229.52,0.736792
229.57999999999998,0.736918
229.64,0.7370439999999999
229.7,0.73717
229.76,0.737296
229.82,0.737422
229.88,0.737548
229.94,0.737674
230.0,0.7378
230.06,0.737926
230.12,0.738052
230.18,0.738178
230.24,0.7383040000000001
230.3,0.73843
230.36,0.738556
230.42,0.738682
230.48,0.738808
230.54,0.738934
230.6,0.7390599999999999
230.66,0.739186
230.72,0.739312
230.78,0.739438
230.84,0.739564
230.9,0.7396900000000001
230.96,0.739816
231.02,0.739942
231.07999999999998,0.740068
231.14,0.740194
231.2,0.74032
231.26,0.7404459999999999
231.32,0.740572
231.38,0.740698
231.44,0.740824
231.5,0.74095
231.56,0.741076
231.62,0.741202
231.68,0.741328
231.74,0.7414540000000001
231.8,0.74158
231.86,0.741706
231.92,0.7418319999999999
231.98,0.741958
232.04,0.742084
232.1,0.7422099999999999
232.16,0.742336
232.22,0.742462
232.28,0.742588
232.34,0.742714
232.4,0.7428400000000001
232.46,0.742966
232.51999999999998,0.743092
232.57999999999998,0.7432179999999999
232.64,0.743344
232.7,0.74347
232.76,0.7435959999999999
232.82,0.743722
232.88,0.743848
232.94,0.743974
233.0,0.7441
233.06,0.74422
233.12,0.74434
233.18,0.74446
233.24,0.74458
233.3,0.7447
233.36,0.74482
233.42000000000002,0.74494
233.48,0.74506
233.54,0.74518
233.6,0.7453
233.66,0.74542
233.72,0.74554
233.78,0.74566
233.84,0.74578
233.9,0.7459
233.96,0.74602
234.01999999999998,0.746142
234.07999999999998,0.7462679999999999
234.14,0.746394
234.2,0.74652
234.26,0.7466459999999999
234.32,0.746772
234.38,0.746898
234.44,0.747024
234.5,0.74715
234.56,0.7472759999999999
234.62,0.747402
234.68,0.747528
234.74,0.747654
234.8,0.74778
234.86,0.747906
234.92000000000002,0.748032
234.98,0.748158
235.04,0.74828
235.1,0.7484
235.16,0.74852
235.22,0.74864
235.28,0.74876
235.34,0.74888
235.4,0.749
235.46,0.74912
235.51999999999998,0.7492399999999999
235.57999999999998,0.7493599999999999
235.64,0.7494799999999999
235.7,0.7495999999999999
235.76,0.7497199999999999
235.82,0.74984
235.88,0.74996
235.94,0.75008
236.0,0.7502
236.06,0.7503259999999999
236.12,0.750452
236.18,0.750578
236.24,0.750704
236.3,0.75083
236.36,0.7509560000000001
236.42000000000002,0.751082
236.48,0.751208
236.54,0.7513340000000001
236.6,0.75146
236.66,0.7515860000000001
236.72,0.751712
236.78,0.751838
236.84,0.7519640000000001
236.9,0.75209
236.96,0.7522160000000001
237.01999999999998,0.75234
237.07999999999998,0.75246
237.14,0.75258
237.2,0.7527
237.26,0.75282
237.32,0.75294
237.38,0.7530600000000001
237.44,0.7531800000000001
237.5,0.7533000000000001
237.56,0.7534200000000001
237.62,0.7535400000000001
237.68,0.7536600000000001
237.74,0.7537800000000001
237.8,0.7539000000000001
237.86,0.7540200000000001
237.92000000000002,0.7541400000000001
237.98,0.75426
238.04,0.75438
238.1,0.7545000000000001
238.16,0.7546200000000001
238.22,0.7547400000000001
238.28,0.7548600000000001
238.34,0.7549800000000001
238.4,0.7551000000000001
238.46,0.75522
238.51999999999998,0.75534
238.57999999999998,0.75546
238.64,0.75558
238.7,0.7556999999999999
238.76,0.7558199999999999
238.82,0.75594
238.88,0.75606
238.94,0.75618
239.0,0.7563
239.06,0.75642
239.12,0.75654
239.18,0.75666
239.24,0.75678
239.3,0.7569
239.36,0.75702
239.42000000000002,0.75714
239.48,0.7572599999999999
239.54,0.7573799999999999
239.6,0.7575
239.66,0.75762
239.72,0.75774
239.78,0.75786
239.84,0.75798
239.9,0.7581
239.96,0.75822
240.01999999999998,0.7583399999999999
240.07999999999998,0.7584599999999999
240.14,0.7585799999999999
240.2,0.7586999999999999
240.26,0.7588199999999999
240.32,0.75894
240.38,0.75906
240.44,0.75918
240.5,0.7593
240.56,0.75942
240.62,0.75954
240.68,0.75966
240.74,0.75978
240.8,0.7599
240.86,0.76002
240.92000000000002,0.76014
240.98,0.7602599999999999
241.04,0.76038
241.1,0.7605
241.16,0.76062
241.22,0.76074
241.28,0.76086
241.34,0.76098
241.4,0.7611
241.46,0.76122
241.51999999999998,0.76134
241.57999999999998,0.76146
241.64,0.76158
241.7,0.7617
241.76,0.76182
241.82,0.7619400000000001
241.88,0.7620600000000001
241.94,0.7621800000000001
242.0,0.7623000000000001
242.06,0.7624200000000001
242.12,0.7625400000000001
242.18,0.7626600000000001
242.24,0.7627800000000001
242.3,0.7629000000000001
242.36,0.7630200000000001
242.42000000000002,0.7631400000000002
242.48,0.76326
242.54,0.7633800000000001
242.6,0.7635000000000001
242.66,0.7636200000000001
242.72,0.7637400000000001
242.78,0.7638600000000001
242.84,0.7639800000000001
242.9,0.7641000000000001
242.96,0.7642200000000001
243.01999999999998,0.7643380000000001
243.07999999999998,0.764452
243.14,0.7645660000000001
243.2,0.76468
243.26,0.7647940000000001
243.32,0.764908
243.38,0.7650220000000001
243.44,0.765136
243.5,0.76525
243.56,0.765364
243.62,0.765478
243.68,0.765592
243.74,0.765706
243.8,0.7658200000000001
243.86,0.765934
243.92000000000002,0.7660480000000001
243.98,0.766162
244.04,0.766276
244.1,0.76639
244.16,0.766504
244.22,0.766618
244.28,0.766732
244.34,0.766846
244.4,0.76696
244.46,0.767074
244.51999999999998,0.767188
