"Sapphire - ThorLabs"
"Wavelength µm.","T%"
0.20,70.55
0.20,70.65
0.20,70.74
0.20,70.84
0.20,70.94
0.21,71.05
0.21,71.15
0.21,71.26
0.21,71.36
0.21,71.47
0.21,71.58
0.21,71.70
0.21,71.81
0.21,71.92
0.21,72.04
0.22,72.15
0.22,72.26
0.22,72.38
0.22,72.49
0.22,72.60
0.22,72.71
0.22,72.93
0.22,73.15
0.22,73.36
0.22,73.57
0.23,73.78
0.23,73.99
0.23,74.20
0.23,74.41
0.23,74.61
0.23,74.82
0.23,75.02
0.23,75.23
0.23,75.43
0.23,75.63
0.24,75.83
0.24,76.03
0.24,76.23
0.24,76.43
0.24,76.62
0.24,76.81
0.24,77.00
0.24,77.19
0.24,77.37
0.24,77.55
0.25,77.72
0.25,77.89
0.25,78.06
0.25,78.22
0.25,78.37
0.25,78.53
0.25,78.67
0.25,78.82
0.25,78.96
0.25,79.09
0.26,79.22
0.26,79.34
0.26,79.46
0.26,79.58
0.26,79.70
0.26,79.81
0.26,79.91
0.26,80.01
0.26,80.11
0.26,80.21
0.27,80.30
0.27,80.39
0.27,80.48
0.27,80.56
0.27,80.64
0.27,80.72
0.27,80.80
0.27,80.87
0.27,80.94
0.27,81.01
0.28,81.08
0.28,81.15
0.28,81.21
0.28,81.27
0.28,81.33
0.28,81.39
0.28,81.44
0.28,81.50
0.28,81.55
0.28,81.60
0.29,81.65
0.29,81.70
0.29,81.75
0.29,81.80
0.29,81.84
0.29,81.89
0.29,81.93
0.29,81.97
0.29,82.01
0.29,82.05
0.30,82.09
0.30,82.13
0.30,82.17
0.30,82.21
0.30,82.24
0.30,82.28
0.30,82.31
0.30,82.34
0.30,82.37
0.30,82.40
0.31,82.43
0.31,82.46
0.31,82.49
0.31,82.52
0.31,82.55
0.31,82.58
0.31,82.60
0.31,82.63
0.31,82.66
0.31,82.68
0.32,82.71
0.32,82.73
0.32,82.76
0.32,82.78
0.32,82.80
0.32,82.83
0.32,82.85
0.32,82.87
0.32,82.89
0.32,82.91
0.33,82.93
0.33,82.96
0.33,82.98
0.33,83.00
0.33,83.01
0.33,83.03
0.33,83.05
0.33,83.07
0.33,83.09
0.33,83.11
0.34,83.12
0.34,83.14
0.34,83.16
0.34,83.17
0.34,83.19
0.34,83.21
0.34,83.22
0.34,83.24
0.34,83.26
0.34,83.27
0.35,83.29
0.35,83.30
0.35,83.32
0.35,83.33
0.35,83.35
0.35,83.36
0.35,83.38
0.35,83.39
0.35,83.41
0.35,83.42
0.36,83.44
0.36,83.45
0.36,83.46
0.36,83.48
0.36,83.49
0.36,83.50
0.36,83.51
0.36,83.53
0.36,83.54
0.36,83.55
0.37,83.56
0.37,83.58
0.37,83.59
0.37,83.60
0.37,83.61
0.37,83.62
0.37,83.64
0.37,83.65
0.37,83.66
0.37,83.67
0.38,83.68
0.38,83.70
0.38,83.71
0.38,83.72
0.38,83.73
0.38,83.74
0.38,83.76
0.38,83.77
0.38,83.78
0.38,83.79
0.39,83.81
0.39,83.82
0.39,83.83
0.39,83.84
0.39,83.85
0.39,83.87
0.39,83.88
0.39,83.89
0.39,83.90
0.39,83.92
0.40,83.93
0.40,83.94
0.40,83.96
0.40,83.97
0.40,83.98
0.40,83.99
0.40,84.01
0.40,84.02
0.40,84.03
0.40,84.05
0.41,84.06
0.41,84.07
0.41,84.09
0.41,84.10
0.41,84.11
0.41,84.13
0.41,84.14
0.41,84.15
0.41,84.17
0.41,84.18
0.42,84.19
0.42,84.20
0.42,84.22
0.42,84.23
0.42,84.24
0.42,84.25
0.42,84.26
0.42,84.28
0.42,84.29
0.42,84.30
0.43,84.31
0.43,84.32
0.43,84.33
0.43,84.34
0.43,84.35
0.43,84.37
0.43,84.38
0.43,84.39
0.43,84.40
0.43,84.41
0.44,84.42
0.44,84.43
0.44,84.44
0.44,84.45
0.44,84.46
0.44,84.47
0.44,84.48
0.44,84.49
0.44,84.50
0.44,84.51
0.45,84.52
0.45,84.53
0.45,84.53
0.45,84.54
0.45,84.55
0.45,84.56
0.45,84.57
0.45,84.58
0.45,84.58
0.45,84.59
0.46,84.60
0.46,84.61
0.46,84.62
0.46,84.62
0.46,84.63
0.46,84.64
0.46,84.64
0.46,84.65
0.46,84.66
0.46,84.66
0.47,84.67
0.47,84.68
0.47,84.69
0.47,84.69
0.47,84.70
0.47,84.70
0.47,84.71
0.47,84.71
0.47,84.72
0.47,84.73
0.48,84.73
0.48,84.74
0.48,84.74
0.48,84.75
0.48,84.75
0.48,84.76
0.48,84.76
0.48,84.77
0.48,84.77
0.48,84.78
0.49,84.78
0.49,84.79
0.49,84.79
0.49,84.79
0.49,84.80
0.49,84.80
0.49,84.81
0.49,84.81
0.49,84.82
0.49,84.82
0.50,84.82
0.50,84.83
0.50,84.83
