λ (nm),n2 fit
190.0,2.4512836104548814
191.0,2.4467225727085866
192.0,2.4419524755627275
193.0,2.4375330335073753
194.0,2.432910260164113
195.0,2.428626612873102
196.0,2.424406805713794
197.0,2.4199917990734443
198.0,2.415899710322409
199.0,2.411617659574003
200.0,2.4076481866820583
201.0,2.403736402976684
202.0,2.399642099129946
203.0,2.3958458157488556
204.0,2.391871809526425
205.0,2.388186523792776
206.0,2.3845534995774194
207.0,2.3807495747664085
208.0,2.377221259526044
209.0,2.373742265784058
210.0,2.3700988535617173
211.0,2.3667187192479173
212.0,2.3631783506896427
213.0,2.359893365398627
214.0,2.3566532291481033
215.0,2.353258816889973
216.0,2.350108635552236
217.0,2.346808027386454
218.0,2.3437445016806326
219.0,2.340721848211744
220.0,2.3375542533752784
221.0,2.334613630679263
222.0,2.3315316131454136
223.0,2.3286700795940067
224.0,2.325845872650711
225.0,2.322885328896854
226.0,2.3201360822406984
227.0,2.317253771435964
228.0,2.314576855559945
229.0,2.3119340969358007
230.0,2.3091629450671314
231.0,2.3065888218820216
232.0,2.3038893298580363
233.0,2.3013814858159964
234.0,2.2989049590256085
235.0,2.296307383080129
236.0,2.2938938201166303
237.0,2.2915100176678953
238.0,2.2890092913915723
239.0,2.2866853421792364
240.0,2.2842471432944818
241.0,2.281981060218744
242.0,2.2797423427092434
243.0,2.277393199166898
244.0,2.275209546924374
245.0,2.2729179489180704
246.0,2.2707875707408625
247.0,2.2686823993217295
248.0,2.266472830897556
249.0,2.26441840611489
250.0,2.2622618877984744
251.0,2.2602565916243043
252.0,2.258274552143275
253.0,2.256193717038983
254.0,2.2542585207609016
255.0,2.252226670866168
256.0,2.250336853229051
257.0,2.2484685272039715
258.0,2.2465066162070517
259.0,2.244681598155064
260.0,2.2427649894549075
261.0,2.2409819511399407
262.0,2.239218803676384
263.0,2.23736692435899
264.0,2.2356438769389646
265.0,2.233833956713938
266.0,2.232149802479539
267.0,2.230484084636478
268.0,2.2287341604266677
269.0,2.2271056262989686
270.0,2.225494722670216
271.0,2.2238021718060015
272.0,2.222226835319642
273.0,2.2205715173014884
274.0,2.2190307085660317
275.0,2.2175062777170904
276.0,2.2159042566006852
277.0,2.214412879210583
278.0,2.2128454688510626
279.0,2.211386196208723
280.0,2.209942158135501
281.0,2.208424323936916
282.0,2.20701104383427
283.0,2.2055254251168344
284.0,2.2041420356241836
285.0,2.2027728354316936
286.0,2.201333391232997
287.0,2.199992849379458
288.0,2.1985834290580333
289.0,2.1972707513043894
290.0,2.19597130571111
291.0,2.1946049450807297
292.0,2.1933322343360038
293.0,2.1919938892176964
294.0,2.1907471849299758
295.0,2.1895128350239728
296.0,2.1882146930466386
297.0,2.187005313201632
298.0,2.1858077978451007
299.0,2.1845482647570877
300.0,2.183374734182654
301.0,2.182140344099759
302.0,2.1809901620445777
303.0,2.1798510777333795
304.0,2.1786528013432265
305.0,2.1775361592162055
306.0,2.1763614139538365
307.0,2.1752666283213182
308.0,2.174182234638485
309.0,2.173041306229362
310.0,2.1719779341797345
311.0,2.170859052144717
312.0,2.1698161618638743
313.0,2.1687830129658643
314.0,2.167695830676593
315.0,2.166682393501605
316.0,2.1656158881128955
317.0,2.1646216643858303
318.0,2.163636581596626
319.0,2.1625998219618388
320.0,2.161633241444609
321.0,2.1606158939410096
322.0,2.159667355223898
323.0,2.158727402558257
324.0,2.157737995081048
325.0,2.15681542659037
326.0,2.1558442617180344
327.0,2.154938651343701
328.0,2.1540411136071653
329.0,2.1530962180004938
330.0,2.15221502953925
331.0,2.151341625185014
332.0,2.1504220599037147
333.0,2.149564423063963
334.0,2.148661408845443
335.0,2.1478191622591183
336.0,2.146984245173263
337.0,2.146105081897471
338.0,2.145285015461728
339.0,2.144421443627736
340.0,2.1436158777222203
341.0,2.1428172194187587
342.0,2.1419761255874734
343.0,2.1411914667550516
344.0,2.1403650732954795
345.0,2.1395940886456324
346.0,2.1388296196237944
347.0,2.1380244286099526
348.0,2.137273167998477
349.0,2.1364818490438444
350.0,2.135743494302035
351.0,2.1350112906273355
352.0,2.1342399877719016
353.0,2.133520256541122
354.0,2.1327620549599042
355.0,2.132054514497625
356.0,2.1313527856859396
357.0,2.130613495684334
358.0,2.129923553903302
359.0,2.129239232096093
360.0,2.1285182299261334
361.0,2.1278453079881587
362.0,2.1271362834814207
363.0,2.1264745096036886
364.0,2.1258180522744485
365.0,2.1251263282047947
366.0,2.1244806577256017
367.0,2.1238002689665585
368.0,2.123165150294397
369.0,2.122535064949423
370.0,2.121871054981985
371.0,2.121251184125391
372.0,2.1205979096056047
373.0,2.1199880336384487
374.0,2.1193829263881048
375.0,2.118745169579013
376.0,2.118149741919539
377.0,2.117522159856289
378.0,2.1169362064309216
379.0,2.1163547742744733
380.0,2.115741904691809
381.0,2.1151696517883343
382.0,2.114566432382616
383.0,2.1140031665233625
384.0,2.113444190328995
385.0,2.112854929733311
386.0,2.1123046643684535
387.0,2.111724562755206
388.0,2.1111828281617697
389.0,2.110645166271126
390.0,2.110078317445465
391.0,2.109548927463335
392.0,2.1090234870674305
393.0,2.108469490392833
394.0,2.107952072787362
395.0,2.1074065134517324
396.0,2.106896956134298
397.0,2.1063911525960157
398.0,2.105857808231897
399.0,2.105359631205317
400.0,2.1048343084578187
401.0,2.1043436053867417
402.0,2.1038564722730655
403.0,2.103342766320167
404.0,2.102862887607476
405.0,2.102356812840628
406.0,2.1018840451972616
407.0,2.1014146748051994
408.0,2.100919654828533
409.0,2.100457189147392
410.0,2.099969433393797
411.0,2.0995137376551516
412.0,2.0990612767804437
413.0,2.098584047391676
414.0,2.098138162356751
415.0,2.097667852023149
416.0,2.0972284160161654
417.0,2.0967920620734213
418.0,2.0963317808792916
419.0,2.0959016932543113
420.0,2.095474600683049
421.0,2.095024065487856
422.0,2.0946030629491577
423.0,2.0941589368316693
424.0,2.093743909087679
425.0,2.093331737544261
426.0,2.092896905584822
427.0,2.09249054270726
428.0,2.092061824404962
429.0,2.0916611615565093
430.0,2.0912632240097166
431.0,2.0908433739089527
432.0,2.0904509797246225
433.0,2.09003696468744
434.0,2.089650011381337
435.0,2.089265659891633
436.0,2.08886011122466
437.0,2.0884810527693225
438.0,2.088081076262215
439.0,2.08770721409609
440.0,2.0873358371765556
441.0,2.086943947712257
442.0,2.0865776274712884
443.0,2.086191061904479
444.0,2.085829706954627
445.0,2.0854707271374324
446.0,2.0850918902943905
447.0,2.0847377438467647
448.0,2.0843639963125136
449.0,2.0840145968525747
450.0,2.0836674684429
451.0,2.083301110940856
452.0,2.082958604783798
453.0,2.0826183101970783
454.0,2.0822591491754774
455.0,2.081923356176558
456.0,2.081568935866409
457.0,2.0812375654050665
458.0,2.080908311266029
459.0,2.0805607774929498
460.0,2.0802358316875047
461.0,2.0798928355445003
462.0,2.0795721232324738
463.0,2.079253437067641
464.0,2.0789170340262686
465.0,2.0786024732009896
466.0,2.078270415467243
467.0,2.077959909085177
468.0,2.0776513434273207
469.0,2.0773256008237713
470.0,2.0770209871248104
471.0,2.076699407588566
472.0,2.076398678649208
473.0,2.076099809465827
474.0,2.0757842815846312
475.0,2.0754891999931497
476.0,2.0751776623934197
477.0,2.0748863046626402
478.0,2.0745967298984667
479.0,2.0742909940771246
480.0,2.0740050509949977
481.0,2.073720846881159
482.0,2.07342076966547
483.0,2.073140107889642
484.0,2.0728437631025023
485.0,2.0725665850391715
486.0,2.0722910753067967
487.0,2.072000159268052
488.0,2.0717280484174543
489.0,2.071440713960052
490.0,2.0711719463123393
491.0,2.070904779908741
492.0,2.070622655896131
493.0,2.0703587521071634
494.0,2.0700800663729533
495.0,2.069819372290399
496.0,2.0695602157035897
497.0,2.0692865329742895
498.0,2.06903050949603
499.0,2.068760128838176
500.0,2.068507188167109
501.0,2.0682557243844992
502.0,2.0679901495130495
503.0,2.0677416956953865
504.0,2.067479293366912
505.0,2.0672338016670753
506.0,2.0669897292055803
507.0,2.066731945067916
508.0,2.0664907654188034
509.0,2.066236030585001
510.0,2.0659976982130877
511.0,2.0657607302151075
512.0,2.0655104350414475
513.0,2.06527624834794
514.0,2.0650433945066387
515.0,2.0647974364204087
516.0,2.0645672998106095
517.0,2.064324206301934
518.0,2.0640967448101075
519.0,2.0638705654288962
520.0,2.0636316438929714
521.0,2.0634080785912476
522.0,2.0631719130945183
523.0,2.0629509217438264
524.0,2.062731164154002
525.0,2.0624990132985936
526.0,2.0622817714849684
527.0,2.062052273222679
528.0,2.061837508930639
529.0,2.0616239323075343
530.0,2.061398298702238
531.0,2.0611871441298217
532.0,2.060964064479826
533.0,2.0607552954732977
534.0,2.06054767017624
535.0,2.060328312138112
536.0,2.0601230194905615
537.0,2.059906121312457
538.0,2.0597031265020767
539.0,2.0595012334568668
540.0,2.0592879204029853
541.0,2.059088274693204
542.0,2.0588897066005023
543.0,2.0586799000924865
544.0,2.0584835302132882
545.0,2.0582760420545707
546.0,2.058081838061645
547.0,2.057888672735814
548.0,2.0576845643790125
549.0,2.0574935180268166
550.0,2.0572916446001033
551.0,2.0571026863417283
552.0,2.056914729544455
553.0,2.056716114850772
554.0,2.0565302013258
555.0,2.0563337418614793
556.0,2.0561498420993334
557.0,2.0559669082434198
558.0,2.0557735918160907
559.0,2.0555926288817385
560.0,2.0554013915043865
561.0,2.055222371280132
562.0,2.0550442829712092
563.0,2.0548560780240535
564.0,2.0546798914601525
565.0,2.054493692719871
566.0,2.0543193809196256
567.0,2.054145968525948
568.0,2.053962696432018
569.0,2.0537911196153686
570.0,2.0536097840476844
571.0,2.0534400169929867
572.0,2.0532711182413497
573.0,2.053092608108947
574.0,2.0529254816192326
575.0,2.052759205487044
576.0,2.0525834623950288
577.0,2.052418921991017
578.0,2.052245010265186
579.0,2.052082181514539
580.0,2.051920174114734
581.0,2.0517489350413856
582.0,2.0515886043122893
583.0,2.051419134400062
584.0,2.0512604572846613
585.0,2.051102573739755
586.0,2.0509356860826533
587.0,2.0507794226415195
588.0,2.0506142445593034
589.0,2.050459579131528
590.0,2.0503056806585414
591.0,2.0501429982238872
592.0,2.0499906656532896
593.0,2.049829635694917
594.0,2.049678847854674
595.0,2.0495288014600526
596.0,2.0493701841424015
597.0,2.0492216516966177
598.0,2.049064632120682
599.0,2.048917593324642
600.0,2.048771271516848
601.0,2.048616584997359
602.0,2.048471727321737
603.0,2.0483275725001726
604.0,2.048175173044514
605.0,2.0480324535631222
606.0,2.047881569025117
607.0,2.0477402658915125
608.0,2.0475996427290144
609.0,2.0474509707938
610.0,2.0473117363540334
611.0,2.0471645302147317
612.0,2.047026666271964
613.0,2.0468894603410748
614.0,2.0467443953493456
615.0,2.0466085334010455
616.0,2.046464887058435
617.0,2.0463303515968065
618.0,2.046196453067164
619.0,2.0460548792782918
620.0,2.045922281778402
621.0,2.045782081372281
622.0,2.045650768101251
623.0,2.0455200715197313
624.0,2.0453818777984942
625.0,2.045252440996197
626.0,2.045115577182482
627.0,2.044987384020668
628.0,2.0448597881037025
629.0,2.0447248677021177
630.0,2.0445984919358278
631.0,2.0444648596732966
632.0,2.044339688550028
633.0,2.04421509598732
634.0,2.0440833463384442
635.0,2.043959935843916
636.0,2.043837093093177
637.0,2.0437071908603066
638.0,2.0435855081292496
639.0,2.0434568306521936
640.0,2.043336293381053
641.0,2.0432163063114936
642.0,2.0430894191683233
643.0,2.0429705563584513
644.0,2.0428448562739256
645.0,2.0427271037219805
646.0,2.042609884501733
647.0,2.042485919856726
648.0,2.0423697905035825
649.0,2.0422469766593228
650.0,2.042131923704062
651.0,2.042017387852253
652.0,2.041896256641045
653.0,2.0417827775689004
654.0,2.0416627622743744
655.0,2.0415503270210906
656.0,2.041438393255587
657.0,2.04132000978097
658.0,2.0412091009538504
659.0,2.0410917998236866
660.0,2.040981903459708
661.0,2.0408724935528717
662.0,2.040756775333186
663.0,2.0406483597137126
664.0,2.0405404218380623
665.0,2.0404262581758728
666.0,2.0403192968178483
667.0,2.040206164443275
668.0,2.040100167858858
669.0,2.0399946348686497
670.0,2.0398830110090005
671.0,2.0397784256780884
672.0,2.039667802674381
673.0,2.039564153690323
674.0,2.0394609546708495
675.0,2.039351795831545
676.0,2.0392495166712434
677.0,2.0391413293704614
678.0,2.039039959169574
679.0,2.0389390258008713
680.0,2.038832259931949
681.0,2.038732219634275
682.0,2.0386263970521084
683.0,2.0385272393204557
684.0,2.0384285057642053
685.0,2.0383240634290143
686.0,2.038226197123745
687.0,2.0381226708430495
688.0,2.038025661661471
689.0,2.037929064453608
690.0,2.0378268787158853
691.0,2.0377311238653704
692.0,2.0376298279255582
